play,character,gender,role,genre
AYL,LORDS.FREDERICK.0.1,m,other,comedy
1H6,SERVANTS.GLOUCESTER.0.1,m,other,history
1H6,SERVANTS.GLOUCESTER.0.2,m,other,history
WT,Shepherd,m,other,comedy
3H6,MESSENGERS.Post,m,other,history
Rom,SERVANTS.CAPULET.Sampson,m,other,tragedy
1H4,Douglas,m,other,history
Tim,SERVANTS.TIMON.Lucilius,m,other,tragedy
H8,Butts,m,other,history
2H6,Michael,m,other,history
Cym,Cloten,m,other,tragedy
TGV,Antonio,m,other,comedy
3H6,Hastings,m,other,history
MND,RobinGoodfellow,m,other,comedy
3H6,RichardIII,m,other,history
H5,Grey,m,other,history
Per,Thaisa,f,other,comedy
WT,Leontes,m,protag,comedy
H8,Epilogue,m,other,history
H8,Wolsey,m,antag,history
MND,Snout,m,other,comedy
3H6,GAMEKEEPERS.1,m,other,history
3H6,GAMEKEEPERS.2,m,other,history
TNK,Theseus,m,protag,comedy
1H4,Ostler,m,other,history
WT,Dion,m,other,comedy
2H6,MESSENGERS.Post,m,other,history
R2,Northumberland,m,other,history
Tmp,Boatswain,m,other,comedy
2H6,Lieutenant,m,other,history
Ant,Seleucus,m,other,tragedy
2H6,PRENTICES.1,m,other,history
Tmp,Caliban,m,other,comedy
2H6,PRENTICES.2,m,other,history
R2,HERALDS.2,m,other,history
R2,HERALDS.1,m,other,history
JC,SERVANTS.CAESAR.1,m,other,tragedy
2H4,GROOMS.2,m,other,history
2H4,GROOMS.1,m,other,history
TN,Fabian,m,other,comedy
Mac,MURDERERS.2,m,other,tragedy
2H4,Poins,m,other,history
Ant,Diomedes,m,other,tragedy
1H4,HenryV,m,protag,history
MND,FAIRIES.TITANIA.Mustardseed,m,other,comedy
R2,Surrey,m,other,history
Cym,SOLDIERS.BRITON.0.1,m,other,tragedy
AYL,Celia,f,other,comedy
1H4,Hotspur,m,antag,history
Tim,SOLDIERS.1,m,other,tragedy
H8,Surrey,m,other,history
Lr,France,m,other,tragedy
Rom,Mercutio,m,other,tragedy
H5,Boy,m,other,history
Tit,Quintus,m,other,tragedy
Mac,Macduff,m,other,tragedy
Shr,Tranio,m,other,comedy
WT,Perdita,f,other,comedy
2H6,MESSENGERS.1,m,other,history
1H6,Bedford,m,other,history
Shr,Tailor,m,other,comedy
Shr,HUNTSMEN.0.2,m,other,comedy
Shr,HUNTSMEN.0.3,m,other,comedy
Shr,HUNTSMEN.0.1,m,other,comedy
2H4,Davy,m,other,history
MM,Pompey,m,other,comedy
Oth,Montano,m,other,tragedy
JC,Marullus,m,other,tragedy
1H4,Vernon,m,other,history
Jn,QueenEleanor,f,other,history
WT,SERVANTS.X.1,m,other,comedy
Shr,SERVANTS.PETRUCHIO.Nicholas,m,other,comedy
WT,SERVANTS.X.3,m,other,comedy
WT,SERVANTS.X.2,m,other,comedy
2H4,Bullcalf,m,other,history
Tit,Captain,m,other,tragedy
R2,Queen,f,other,history
MM,Boy,m,other,comedy
Per,Bolt,m,other,comedy
Tmp,SPIRITS.Juno,f,other,comedy
2H4,HenryV,m,protag,history
Ham,Rosencrantz,m,other,tragedy
Ant,Soothsayer,m,other,tragedy
Tro,SERVANTS.TROILUS.1,m,other,tragedy
Err,Luce,f,other,comedy
Ham,PLAYERS.1,m,other,tragedy
MND,Hermia,f,other,comedy
H5,Brittany,m,other,history
JC,Pindarus,m,other,tragedy
Tim,LADIES.0.1,f,other,tragedy
Lr,Gloucester,m,other,tragedy
R2,Scroop,m,other,history
2H4,Silence,m,other,history
2H6,Buckingham,m,other,history
3H6,Tutor,m,other,history
Rom,Juliet,f,other,tragedy
Per,SAILORS.MYTILENE.1,m,other,comedy
1H4,Worcester,m,other,history
TNK,COUNTRYWOMEN.0.1,f,other,comedy
TGV,Eglamour,m,other,comedy
Cor,TRIBUNES.Brutus,m,antag,tragedy
H5,BishopOfEly,m,other,history
Jn,KingPhilip,m,antag,history
LLL,Nathaniel,m,other,comedy
Ham,Ghost,m,other,tragedy
Ado,Leonato,m,other,comedy
Jn,MESSENGERS.FRENCH.1,m,other,history
1H6,SOLDIERS.ENGLISH.Captain,m,other,history
H8,OldLady,f,other,history
Tit,GOTHS.0.2,m,other,tragedy
Tit,GOTHS.0.1,m,other,tragedy
Shr,Curtis,m,other,comedy
MND,Flute,m,other,comedy
Ant,Canidius,m,other,tragedy
2H4,OFFICERS.Snare,m,other,history
Ant,Agrippa,m,other,tragedy
Wiv,HughEvans,m,other,comedy
TNK,Palamon,m,other,comedy
H8,BishopOfLincoln,m,other,history
MND,Bottom,m,other,comedy
2H6,YoungClifford,m,other,history
WT,Sailor,m,other,comedy
Tro,Helen,f,other,tragedy
1H6,Glansdale,m,other,history
WT,ATTENDANTS.3,m,other,comedy
WT,ATTENDANTS.2,m,other,comedy
WT,ATTENDANTS.1,m,other,comedy
Oth,Clown,m,other,tragedy
TGV,Valentine,m,protag,comedy
Tro,Menelaus,m,other,tragedy
Per,Lysimachus,m,other,comedy
WT,ATTENDANTS.X,m,other,comedy
LLL,Holofernes,m,other,comedy
Tim,FRIENDS.0.3,m,other,tragedy
Tim,FRIENDS.0.2,m,other,tragedy
Tim,FRIENDS.0.1,m,other,tragedy
Shr,Baptista,m,other,comedy
Tim,FRIENDS.0.4,m,other,tragedy
Cym,Philario,m,other,tragedy
Lr,Edmund,m,other,tragedy
Tro,Ajax,m,other,tragedy
H8,Campeius,m,other,history
MM,Froth,m,other,comedy
1H6,Salisbury,m,other,history
1H6,Countess,f,other,history
3H6,Norfolk,m,other,history
1H4,Westmoreland,m,other,history
R3,Dorset,m,other,history
MV,LanceletGobbo,m,other,comedy
JC,Poet,m,other,tragedy
Per,KNIGHTS.0.1,m,other,comedy
Per,KNIGHTS.0.3,m,other,comedy
Per,KNIGHTS.0.2,m,other,comedy
Rom,Benvolio,m,other,tragedy
2H4,DRAWERS.Francis,m,other,history
R3,MURDERERS.2,m,other,history
R3,MURDERERS.1,m,other,history
2H6,MESSENGERS.2,m,other,history
Rom,MUSICIANS.0.1,m,other,tragedy
Rom,MUSICIANS.0.2,m,other,tragedy
Rom,MUSICIANS.0.3,m,other,tragedy
TGV,SERVANTS.1,m,other,comedy
Err,Luciana,f,other,comedy
Ant,SOLDIERS.ANTONY.0.4,m,other,tragedy
Ant,SOLDIERS.ANTONY.0.1,m,other,tragedy
Ant,SOLDIERS.ANTONY.0.3,m,other,tragedy
Ant,SOLDIERS.ANTONY.0.2,m,other,tragedy
1H6,SOLDIERS.FRENCH.PUCELLE.0.1,m,other,history
Cym,Queen,f,other,tragedy
JC,Metellus,m,other,tragedy
MV,ATTENDANTS.PORTIA.Balthazar,m,other,comedy
Ant,Maecenas,m,other,tragedy
1H6,JAILERS.0.1,m,other,history
1H6,QueenMargaret,f,other,history
2H6,Master,m,other,history
3H6,Warwick,m,other,history
Ant,GUARDS.Dercetus,m,other,tragedy
Wiv,Pistol,m,other,comedy
JC,Casca,m,other,tragedy
Lr,Lear,m,protag,tragedy
2H6,Vaux,m,other,history
Tit,Mutius,m,other,tragedy
TN,Priest,m,other,comedy
JC,SOLDIERS.BRUTUS.0.1,m,other,tragedy
JC,SOLDIERS.BRUTUS.0.2,m,other,tragedy
JC,SOLDIERS.BRUTUS.0.3,m,other,tragedy
MV,OldGobbo,m,other,comedy
WT,ATTENDANTS.0.1,m,other,comedy
Ant,Octavius,m,other,tragedy
Err,Courtesan,f,other,comedy
H5,Jamy,m,other,history
Ado,Conrade,m,other,comedy
R3,ATTENDANTS.RICHMOND.0.1,m,other,history
R3,ClarencesDaughter,f,other,history
H8,LADIES.KATHERINE.Patience,f,other,history
Cor,Menenius,m,other,tragedy
Tmp,Stephano,m,other,comedy
3H6,HenryVI,m,other,history
R3,SirChristopher,m,other,history
MV,ATTENDANTS.BASSANIO.Leonardo,m,other,comedy
Ado,Boy,m,other,comedy
Ant,Thidias,m,other,tragedy
R3,CITIZENS,m,other,history
Lr,Fool,m,other,tragedy
MM,Abhorson,m,other,comedy
Cym,MUSICIANS,m,other,tragedy
Tro,Troilus,m,protag,tragedy
TGV,Sylvia,m,other,comedy
3H6,Exeter,m,other,history
WT,Mamillius,m,other,comedy
Tim,OldMan,m,other,tragedy
Mac,MURDERERS.0.1,m,other,tragedy
Rom,SERVANTS.CAPULET.X.1,m,other,tragedy
Rom,SERVANTS.CAPULET.X.2,m,other,tragedy
Per,SERVANTS.CERIMON.0.1,m,other,comedy
Cym,Iachimo,m,antag,tragedy
Per,PIRATES.0.1,m,other,comedy
Per,PIRATES.0.3,m,other,comedy
Per,PIRATES.0.2,m,other,comedy
Tro,Antenor,m,other,tragedy
Jn,Chatillion,m,other,history
Cor,SOLDIERS.VOLSCIAN.0.1,m,other,tragedy
Ant,MESSENGERS.CAESAR.1,m,other,tragedy
Ant,MESSENGERS.CAESAR.2,m,other,tragedy
Lr,ATTENDANTS.ALBANY,m,other,tragedy
Tim,Poet,m,other,tragedy
Cym,TRIBUNES.0.1,m,other,tragedy
Cym,Lucius,m,other,tragedy
MND,Starveling,m,other,comedy
JC,Brutus,m,protag,tragedy
R2,WelshCaptain,m,other,history
Jn,CITIZENS.0.1,m,other,history
1H6,MESSENGERS.FRENCH.1,m,other,history
Ham,Hamlet,m,protag,tragedy
R3,Ratcliffe,m,other,history
WT,SERVANTS.SHEPHERD.1,m,other,comedy
JC,CinnaPoet,m,other,tragedy
Oth,Herald,m,other,tragedy
Ado,Antonio,m,other,comedy
H5,Chorus,m,other,history
3H6,York,m,other,history
Ant,Ventidius,m,other,tragedy
R3,Grey,m,other,history
Ant,Menas,m,other,tragedy
1H6,Burgundy,m,other,history
Tim,SERVANTS.Philotus,m,other,tragedy
Ham,Barnardo,m,other,tragedy
1H6,MasterGunner,m,other,history
H8,Cranmer,m,other,history
Tim,SERVANTS.Caphis,m,other,tragedy
Per,MESSENGERS.ANTIOCH.1,m,other,comedy
2H4,Morton,m,other,history
Ado,Ursula,f,other,comedy
TNK,Boy,m,other,comedy
Tro,Bastard,m,other,tragedy
Tim,SERVANTS.TIMON.2,m,other,tragedy
Tim,SERVANTS.TIMON.3,m,other,tragedy
Tim,SERVANTS.TIMON.1,m,other,tragedy
2H4,BEADLES.0.1,m,other,history
Jn,LadyFaulconbridge,f,other,history
MM,Barnardine,m,other,comedy
Ant,Taurus,m,other,tragedy
R3,Brakenbury,m,other,history
2H4,Falstaff,m,other,history
LLL,Maria,f,other,comedy
JC,Antony,m,antag,tragedy
H8,Katherine,f,other,history
H8,Messenger,m,other,history
Mac,ATTENDANTS,m,other,tragedy
3H6,Lieutenant,m,other,history
Oth,Sailor,m,other,tragedy
2H4,Archbishop,m,other,history
2H4,MESSENGERS.Gower,m,other,history
3H6,ALDERMEN,m,other,history
Rom,SERVANTS.CAPULET.Gregory,m,other,tragedy
Tim,BANDITS.3,m,other,tragedy
Tim,FRIENDS.0,m,other,tragedy
H8,Brandon,m,other,history
Wiv,Shallow,m,other,comedy
Wiv,Host,m,other,comedy
AWW,Diana,f,other,comedy
R2,Exton,m,other,history
MM,Lucio,m,other,comedy
Tit,Marcus,m,other,tragedy
Ado,MESSENGERS.DONPEDRO.1,m,other,comedy
Oth,OFFICERS,m,other,tragedy
Lr,Goneril,f,antag,tragedy
H5,KingOfFrance,m,other,history
R2,Willoughby,m,other,history
Ant,Mardian,m,other,tragedy
H8,Guilford,m,other,history
H5,SOLDIERS.ENGLISH.Williams,m,other,history
Tmp,Gonzalo,m,other,comedy
Shr,Sly,m,other,comedy
Cor,CITIZENS.ROMAN,m,other,tragedy
TNK,Herald,m,other,comedy
JC,SOLDIERS.BRUTUS.Clitus,m,other,tragedy
Ado,DonPedro,m,other,comedy
MM,Mariana,f,other,comedy
1H6,Vernon,m,other,history
Mac,Hecate,f,other,tragedy
1H6,Bastard,m,other,history
1H6,Lucy,m,other,history
Lr,ATTENDANTS.CORDELIA.1,m,other,tragedy
2H6,PETITIONERS,m,other,history
R3,CITIZENS.1,m,other,history
R3,CITIZENS.2,m,other,history
R3,CITIZENS.3,m,other,history
Ham,PLAYERS.Lucianus,m,other,tragedy
1H6,Fastolf,m,other,history
R2,Bushy,m,other,history
Tro,Priam,m,other,tragedy
Cor,CITIZENS.ROMAN.0.2,m,other,tragedy
Cor,CITIZENS.ROMAN.0.1,m,other,tragedy
MND,FAIRIES.TITANIA.0.2,m,other,comedy
H5,Gloucester,m,other,history
AYL,SecondBrother,m,other,comedy
1H6,SERVANTS.1,m,other,history
MM,Elbow,m,other,comedy
1H6,SERVANTS.3,m,other,history
2H4,HenryIV,m,other,history
R2,Gaunt,m,other,history
H8,Usher,m,other,history
WT,ATTENDANTS,m,other,comedy
AYL,DukeFrederick,m,other,comedy
Cor,Virgilia,f,other,tragedy
Lr,ATTENDANTS.LEAR.0.3,m,other,tragedy
H5,Rambures,m,other,history
1H6,Gargrave,m,other,history
WT,OFFICERS.0.1,m,other,comedy
Rom,FriarLawrence,m,other,tragedy
LLL,Longaville,m,other,comedy
3H6,Clifford,m,other,history
Mac,Banquo,m,other,tragedy
Shr,SERVANTS.LORD.0.1,m,other,comedy
Shr,SERVANTS.LORD.0.2,m,other,comedy
Shr,SERVANTS.LORD.0.3,m,other,comedy
2H6,Thump,m,other,history
JC,PLEBEIANS.0.1,m,other,tragedy
JC,PLEBEIANS.0.3,m,other,tragedy
JC,PLEBEIANS.0.2,m,other,tragedy
JC,PLEBEIANS.0.4,m,other,tragedy
Tit,Martius,m,other,tragedy
Ham,SOLDIERS.FORTINBRAS.Captain,m,other,tragedy
Tmp,Alonso,m,other,comedy
2H6,HERALDS.X.1,m,other,history
TNK,Pirithous,m,other,comedy
1H6,Boy,m,other,history
Wiv,Nym,m,other,comedy
R3,QueenMargaret,f,other,history
MND,Hippolyta,f,other,comedy
1H6,Woodville,m,other,history
TN,AndrewAguecheek,m,other,comedy
Per,GENTLEMEN.EPHESUS.2,m,other,comedy
Per,GENTLEMEN.EPHESUS.1,m,other,comedy
TNK,Prologue,m,other,comedy
JC,Cicero,m,other,tragedy
Ado,Beatrice,f,protag,comedy
2H6,FOLLOWERS.CADE.0,m,other,history
Ant,Eros,m,other,tragedy
H8,Lovell,m,other,history
Cym,GHOSTS.Mother,m,other,tragedy
Tro,ATTENDANTS.GREEK,m,other,tragedy
R2,BishopOfCarlisle,m,other,history
JC,SOLDIERS.BRUTUS.Strato,m,other,tragedy
Ant,Countryman,m,other,tragedy
MM,Escalus,m,other,comedy
R3,Herbert,m,other,history
Tro,Boy,m,other,tragedy
2H6,Sheriff,m,other,history
WT,Chorus,m,other,comedy
2H4,Colevile,m,other,history
Cor,SENATORS.ROMAN,m,other,tragedy
1H6,Warwick,m,other,history
2H6,Beadle,m,other,history
Ant,Cleopatra,f,other,tragedy
Ant,SOLDIERS.ANTONY.X.1,m,other,tragedy
Ant,SOLDIERS.ANTONY.X.3,m,other,tragedy
Ant,SOLDIERS.ANTONY.X.2,m,other,tragedy
Cor,SOLDIERS.ROMAN.0.1,m,other,tragedy
Cor,SOLDIERS.ROMAN.0.3,m,other,tragedy
Cor,SOLDIERS.ROMAN.0.2,m,other,tragedy
R2,Salisbury,m,other,history
Per,Bawd,f,other,comedy
AYL,LORDS.FREDERICK.LeBeau,m,other,comedy
Tit,Lucius,m,other,tragedy
Tim,SERVANTS.Hortensius,m,other,tragedy
MND,Helena,f,other,comedy
Rom,Petruchio,m,other,tragedy
TNK,KNIGHTS.PALAMON.0.1,m,other,comedy
TNK,KNIGHTS.PALAMON.0.3,m,other,comedy
TNK,KNIGHTS.PALAMON.0.2,m,other,comedy
R2,Mowbray,m,other,history
Tim,FRIENDS.Ventidius,m,other,tragedy
JC,SERVANTS.ANTONY.1,m,other,tragedy
Cym,ATTENDANTS.CLOTEN.1,m,other,tragedy
Cym,ATTENDANTS.CLOTEN.2,m,other,tragedy
2H4,Bardolph,m,other,history
Ant,GUARDS.CAESAR.1,m,other,tragedy
Jn,MESSENGERS.ENGLISH.1,m,other,history
R2,Bagot,m,other,history
TNK,Doctor,m,other,comedy
Oth,Roderigo,m,other,tragedy
2H6,Bevis,m,other,history
Ham,Osric,m,other,tragedy
Per,Pericles,m,protag,comedy
Shr,Hortensio,m,other,comedy
AWW,Widow,f,other,comedy
Tro,Prologue,m,other,tragedy
2H6,Salisbury,m,other,history
Tro,Cressida,f,other,tragedy
MV,Morocco,m,other,comedy
1H6,York,m,other,history
H5,Cambridge,m,other,history
JC,SOLDIERS.BRUTUS.Lucilius,m,other,tragedy
AYL,Phoebe,f,other,comedy
Ant,Lepidus,m,other,tragedy
Tim,FRIENDS.Lucullus,m,other,tragedy
3H6,Rivers,m,other,history
R2,LordMarshal,m,other,history
R2,SERVANTS.YORK.1,m,other,history
Tro,Cassandra,f,other,tragedy
Err,DromioOfEphesus,m,other,comedy
Per,Cerimon,m,other,comedy
LLL,Costard,m,other,comedy
1H6,Watchman,m,other,history
2H4,Westmoreland,m,other,history
Tim,Timon,m,protag,tragedy
1H6,SERVANTS.TALBOT.1,m,other,history
TNK,Daughter,f,other,comedy
Tmp,Prospero,m,protag,comedy
Ant,Alexas,m,other,tragedy
LLL,Princess,f,antag,comedy
MV,Tubal,m,other,comedy
1H6,CardinalBeaufort,m,other,history
R3,MESSENGERS.X.1,m,other,history
MND,FAIRIES.TITANIA.0.1,m,other,comedy
R3,MESSENGERS.X.3,m,other,history
R3,MESSENGERS.X.2,m,other,history
Jn,Gurney,m,other,history
Cor,Coriolanus,m,protag,tragedy
Ham,Claudius,m,antag,tragedy
H8,Crier,m,other,history
3H6,Huntsman,m,other,history
2H6,SERVANTS.GLOUCESTER.0.1,m,other,history
H8,SERVANTS.PORTER.1,m,other,history
Tit,CountryFellow,m,other,tragedy
H8,Prologue,m,other,history
Shr,Lord,m,other,comedy
JC,SOLDIERS.BRUTUS.Volumnius,m,other,tragedy
Shr,Gremio,m,other,comedy
1H6,Alanson,m,other,history
Ant,Dolabella,m,other,tragedy
Per,LORDS.PENTAPOLIS.0.3,m,other,comedy
Per,LORDS.PENTAPOLIS.0.2,m,other,comedy
Per,LORDS.PENTAPOLIS.0.1,m,other,comedy
Ado,FriarFrancis,m,other,comedy
Tim,SERVANTS.VARRO.1,m,other,tragedy
Tim,SERVANTS.VARRO.2,m,other,tragedy
Ant,SERVANTS.0.1,m,other,tragedy
Wiv,DoctorCaius,m,other,comedy
TGV,OUTLAWS.2,m,other,comedy
TGV,OUTLAWS.3,m,other,comedy
TGV,OUTLAWS.1,m,other,comedy
Err,AntipholusOfEphesus,m,antag,comedy
R2,SERVANTS.EXTON.0.1,m,other,history
Ant,SERVANTS.0.2,m,other,tragedy
Ant,MESSENGERS.ANTONY.1,m,other,tragedy
Ant,MESSENGERS.ANTONY.2,m,other,tragedy
Ant,MESSENGERS.ANTONY.3,m,other,tragedy
AYL,OliverMartext,m,other,comedy
Wiv,Robin,m,other,comedy
TN,ATTENDANTS.ORSINO.Valentine,m,other,comedy
H8,LADIES.KATHERINE.0.1,m,other,history
3H6,QueenElizabeth,f,other,history
R3,Catesby,m,other,history
2H6,CardinalBeaufort,m,other,history
Err,OFFICERS.Jailer,m,other,comedy
JC,Artemidorus,m,other,tragedy
Cor,NOBLES.0.1,m,other,tragedy
Cor,CITIZENS.VOLSCIAN,m,other,tragedy
Cor,Aufidius,m,other,tragedy
2H6,Warwick,m,other,history
AWW,LORDS.COURT.2,m,other,comedy
AYL,LORDS.SENIOR.0.2,m,other,comedy
AYL,LORDS.SENIOR.0.1,m,other,comedy
MND,FAIRIES.TITANIA.Mote,m,other,comedy
Tim,SERVANTS.LUCIUS.1,m,other,tragedy
Tim,Cupid,m,other,tragedy
2H4,Mowbray,m,other,history
R2,SERVANTS.GARDENER.1,m,other,history
Tro,Deiphobus,m,other,tragedy
R2,Hotspur,m,other,history
TGV,Duke,m,other,comedy
2H4,Pistol,m,other,history
LLL,Dumaine,m,other,comedy
R3,SirJohn,m,other,history
Lr,Oswald,m,other,tragedy
AYL,Orlando,m,other,comedy
TNK,FRIENDS.1,m,other,comedy
TNK,FRIENDS.2,m,other,comedy
Cor,CONSPIRATORS,m,other,tragedy
WT,ShepherdsSon,m,other,comedy
Tro,SERVANTS.PARIS.1,m,other,tragedy
1H6,SERVANTS.GLOUCESTER,m,other,history
3H6,Montgomery,m,other,history
Rom,Capulet,m,other,tragedy
Ham,AMBASSADORS,m,other,tragedy
2H6,Sawyer,m,other,history
Wiv,Robert,m,other,comedy
Ant,CAPTAINS,m,other,tragedy
TNK,ATTENDANTS.1,m,other,comedy
TNK,MESSENGERS.X.2,m,other,comedy
TNK,MESSENGERS.X.3,m,other,comedy
TNK,MESSENGERS.X.1,m,other,comedy
Ant,GUARDS.CAESAR.0.2,m,other,tragedy
Ant,GUARDS.CAESAR.0.1,m,other,tragedy
Tro,Pandarus,m,other,tragedy
LLL,Jaquenetta,f,other,comedy
R3,HenryVII,m,other,history
Cym,LADIES.IMOGEN,f,other,tragedy
1H6,Reignier,m,other,history
Ant,Gallus,m,other,tragedy
AWW,SOLDIERS.0.1,m,other,comedy
Cym,JAILERS.2,m,other,tragedy
AWW,Countess,f,other,comedy
H5,Bourbon,m,other,history
MV,Portia,f,protag,comedy
2H4,Epilogue,m,other,history
Mac,Macbeth,m,protag,tragedy
Lr,ATTENDANTS.X.2,m,other,tragedy
Cor,SOLDIERS.ROMAN.Lieutenant,m,other,tragedy
Ham,FOLLOWERS.LAERTES,m,other,tragedy
R3,EdwardIV,m,other,history
Rom,Romeo,m,protag,tragedy
2H4,Clarence,m,other,history
1H6,Legate,m,other,history
R3,Blunt,m,other,history
R3,ATTENDANTS.RICHMOND,m,other,history
2H4,Shadow,m,other,history
AWW,Helen,f,protag,comedy
R2,LORDS.1,m,other,history
Ant,GUARDS.0.2,m,other,tragedy
Ant,GUARDS.0.3,m,other,tragedy
Ant,GUARDS.0.1,m,other,tragedy
Mac,Doctor1,m,other,tragedy
TN,Orsino,m,other,comedy
TNK,Epilogue,m,other,comedy
Oth,Gratiano,m,other,tragedy
Lr,Regan,f,other,tragedy
Ado,Borachio,m,other,comedy
Jn,Dauphin,m,other,history
Rom,LadyMontague,f,other,tragedy
3H6,EdwardIV,m,other,history
3H6,MayorOfYork,m,other,history
R3,ATTENDANTS.0.1,m,other,history
2H4,Shallow,m,other,history
TN,Captain,m,other,comedy
Mac,Fleance,m,other,tragedy
H5,HERALDS.1,m,other,history
Tim,SERVANTS.TIMON.Flaminius,m,other,tragedy
TN,ATTENDANTS.OLIVIA.1,m,other,comedy
R3,Vaughan,m,other,history
R3,Buckingham,m,other,history
R3,Rivers,m,other,history
1H4,Vintner,m,other,history
2H6,RichardIII,m,other,history
Per,Helicanus,m,other,comedy
Ant,SOLDIERS.ANTONY,m,other,tragedy
Lr,Herald,m,other,tragedy
AYL,Dennis,m,other,comedy
Oth,Iago,m,antag,tragedy
Shr,Merchant,m,other,comedy
Oth,OFFICERS.0.1,m,other,tragedy
Ant,Scarus,m,other,tragedy
R3,York,m,other,history
Tit,Saturninus,m,other,tragedy
LLL,Katherine,f,other,comedy
Cym,Pisanio,m,other,tragedy
Ham,ATTENDANTS.0.1,m,other,tragedy
TN,TobyBelch,m,other,comedy
Shr,SERVANTS.PETRUCHIO.Nathaniel,m,other,comedy
3H6,MESSENGERS.2,m,other,history
Per,LORDS.TARSUS.1,m,other,comedy
JC,Popilius,m,other,tragedy
Mac,Lennox,m,other,tragedy
Wiv,Slender,m,other,comedy
Cor,SENATORS.VOLSCIAN.0.2,m,other,tragedy
Cor,SENATORS.VOLSCIAN.0.1,m,other,tragedy
Rom,FriarJohn,m,other,tragedy
MM,Duke,m,protag,comedy
Ham,Francisco,m,other,tragedy
Rom,CITIZENS.0.1,m,other,tragedy
Cor,LORDS.VOLSCIAN,m,other,tragedy
Lr,Albany,m,other,tragedy
Lr,MESSENGERS.X.1,m,other,tragedy
Lr,MESSENGERS.X.2,m,other,tragedy
Lr,MESSENGERS.X.3,m,other,tragedy
Shr,Hostess,f,other,comedy
H8,Garter,m,other,history
2H6,Saye,m,other,history
1H6,Gloucester,m,other,history
Per,FISHERMEN.1,m,other,comedy
Per,FISHERMEN.2,m,other,comedy
Per,FISHERMEN.3,m,other,comedy
Per,Leonine,m,other,comedy
TNK,Servant,m,other,comedy
3H6,KingLewis,m,other,history
Cym,LADIES.QUEEN.0.1,f,other,tragedy
TN,ATTENDANTS.ORSINO.Curio,m,other,comedy
Ant,Egyptian,m,other,tragedy
LLL,Winter,m,other,comedy
MM,Juliet,f,other,comedy
2H6,SimpcoxWife,f,other,history
2H6,Horner,m,other,history
Shr,PLAYERS.0.1,m,other,comedy
Shr,PLAYERS.0.2,m,other,comedy
MM,Messenger,m,other,comedy
H5,Warwick,m,other,history
TN,Olivia,f,other,comedy
1H4,MESSENGERS.2,m,other,history
MV,Lorenzo,m,other,comedy
1H4,MESSENGERS.1,m,other,history
MM,Claudio,m,other,comedy
2H4,Northumberland,m,other,history
1H6,General,m,other,history
Err,Abbess,f,other,comedy
2H4,Porter,m,other,history
1H4,MESSENGERS.X,m,other,history
1H6,SOLDIERS.FRENCH.Scout,m,other,history
AYL,Audrey,f,other,comedy
Oth,Emilia,f,other,tragedy
1H6,SERVANTS.WINCHESTER.0.1,m,other,history
Ant,Pompey,m,other,tragedy
H5,MistressQuickly,f,other,history
R2,Gardener,m,other,history
Tim,Jeweler,m,other,tragedy
Tro,Patroclus,m,other,tragedy
Per,Daughter,f,other,comedy
H5,Westmoreland,m,other,history
Jn,Blanche,f,other,history
Per,Marina,f,other,comedy
Tmp,Adrian,m,other,comedy
2H4,OFFICERS.Fang,m,other,history
R3,Norfolk,m,other,history
Tro,SERVANTS.DIOMEDES.1,m,other,tragedy
Ado,WATCHMEN.2,m,other,comedy
Oth,SENATORS.0.2,m,other,tragedy
Oth,SENATORS.0.1,m,other,tragedy
Ado,WATCHMEN.1,m,other,comedy
Shr,SERVANTS.PETRUCHIO.Phillip,m,other,comedy
Rom,Chorus,m,other,tragedy
TN,Viola,f,protag,comedy
MND,FAIRIES.TITANIA.Cobweb,m,other,comedy
R2,Ross,m,other,history
LLL,Armado,m,other,comedy
Ant,ATTENDANTS.CAESAR,m,other,tragedy
Oth,SENATORS,m,other,tragedy
Ado,MUSICIANS,m,other,comedy
Tit,Chiron,m,other,tragedy
R2,York,m,other,history
2H6,Stanley,m,other,history
1H4,Peto,m,other,history
Tim,SERVANTS.TIMON.Servilius,m,other,tragedy
1H6,Suffolk,m,other,history
Cym,ATTENDANTS.3,m,other,tragedy
Shr,Widow,f,other,comedy
Cor,MESSENGERS.TRIBUNES.2,m,other,tragedy
Cor,MESSENGERS.TRIBUNES.1,m,other,tragedy
2H4,Wart,m,other,history
2H4,DRAWERS.Will,m,other,history
TN,Antonio,m,other,comedy
Jn,Bastard,m,other,history
Mac,YoungSiward,m,other,tragedy
2H6,Simpcox,m,other,history
2H6,Mate,m,other,history
MM,Bawd,m,other,comedy
R3,HenryVI,m,other,history
Wiv,Simple,m,other,comedy
AYL,Rosalind,f,protag,comedy
1H6,SOLDIERS.ENGLISH.0.1,m,other,history
TGV,Thurio,m,other,comedy
Ant,Philo,m,other,tragedy
2H4,SERVANTS.CHIEFJUSTICE.1,m,other,history
Cym,SENATORS.1,m,other,tragedy
TNK,Hippolyta,f,other,comedy
Cym,SENATORS.2,m,other,tragedy
Mac,SOLDIERS.MALCOLM,m,other,tragedy
MND,Titania,f,other,comedy
Cym,SOLDIERS.ROMAN.0.1,m,other,tragedy
H5,Dauphin,m,antag,history
Jn,PrinceHenry,m,other,history
WT,Camillo,m,other,comedy
Shr,Petruchio,m,protag,comedy
3H6,Somerville,m,other,history
Cor,WATCHMEN.1,m,other,tragedy
Cor,WATCHMEN.2,m,other,tragedy
