play,character,phoneme,zscore
1H4,Hotspur,Y,-0.646145883
1H4,Hotspur,W,-0.079323608
1H4,Hotspur,V,0.356197392
1H4,Hotspur,IY,-0.402247729
1H4,Hotspur,OY,-0.394160937
1H4,LadyPercy,OW,-0.415742166
1H4,LadyPercy,SH,-1.399679087
1H4,LadyPercy,TH,1.705654942
1H4,LadyPercy,NG,-0.635118295
1H4,LadyPercy,T,0.990951727
1H4,LadyPercy,CH,0.034503561
1H4,LadyPercy,R,-0.478142557
1H4,LadyPercy,Z,-0.605179392
1H4,LadyPercy,UH,-0.587107983
1H4,LadyPercy,AW,0.064304336
1H4,LadyPercy,AH,0.112772083
1H4,LadyPercy,AO,-0.288271132
1H4,LadyPercy,G,0.413807234
1H4,LadyPercy,K,-1.366442285
1H4,LadyPercy,N,1.764874211
1H4,LadyPercy,M,-0.621880155
1H4,LadyPercy,S,0.881699168
1H4,LadyPercy,AA,0.316951146
1H4,LadyPercy,IH,-0.938707992
1H4,LadyPercy,UW,0.333601244
1H4,LadyPercy,F,0.142793033
1H4,LadyPercy,EH,0.190157358
1H4,LadyPercy,EY,-1.2117828
1H4,LadyPercy,D,-0.866721359
1H4,LadyPercy,ER,-1.357133693
1H4,LadyPercy,DH,0.518314105
1H4,LadyPercy,AY,1.282148168
1H4,LadyPercy,AE,-0.562465688
1H4,LadyPercy,HH,-0.396344538
1H4,LadyPercy,JH,-0.055832297
1H4,LadyPercy,L,0.577921459
1H4,LadyPercy,P,-1.081717771
1H4,LadyPercy,B,0.260007083
1H4,LadyPercy,ZH,2.648785592
1H4,LadyPercy,Y,0.66934681
1H4,LadyPercy,W,-0.443414912
1H4,LadyPercy,V,0.643218473
1H4,LadyPercy,IY,0.729050225
1H4,LadyPercy,OY,-1.034298694
1H4,MESSENGERS.1,OW,-3.540630393
1H4,MESSENGERS.1,SH,-2.469932999
1H4,MESSENGERS.1,TH,-2.553235737
1H4,MESSENGERS.1,NG,-2.114657608
1H4,MESSENGERS.1,T,-2.34683571
1H4,MESSENGERS.1,CH,-2.297119978
1H4,MESSENGERS.1,R,20.08847809
1H4,MESSENGERS.1,Z,3.374360549
1H4,MESSENGERS.1,UH,-2.24003318
