good,'G UH D', s, UH
vow,'V ǝ UH', s, UH
nor,'N AO R', s, AO
god,'G AA D', s, AA
nor,'N AO R', s, AO
i,'AY', s, AY
in,'IH N', s, IH
perjured,'P ɐ R D ZH ǝ R D', s, 
men,'M EH N', s, 
you,'Y UW', s, UW
nickknme,'N IH K N EY M', s, IH EY
you,'Y UW', s, UW
for,'F AO R', s, AO
never,'N e V ǝ R', s, 
breaks,'B R EY K S', s, EY
troth,'T R OW TH', s, 
by,'B AY', s, AY
my,'M AY', s, AY
maiden,'M EY D AH N', s, EY
yet,'Y EH T', s, 
as,'AE Z', s, AE
as,'AE Z', s, AE
the,'DH AH', s, 
unsullied,'AH N S AH L IY D', s, IY
lily,'L IH L IY', s, IH IY
i,'AY', s, AY
protest,'P R OW T EH S T', s, 
a,'AH', s, 
of,'AH V', s, 
torments,'T AO R M e N T S', s, AO
i,'AY', s, AY
i,'AY', s, AY
not,'N AA T', s, AA
yield,'Y IY L D', s, IY
to,'T UW', s, UW
be,'B IY', s, IY
your,'Y AO R', s, AO
guest,'G EH S T', s, 
so,'S OW', s, 
i,'AY', s, AY
a,'AH', s, 
to,'T UW', s, UW
be,'B IY', s, IY
of,'AH V', s, 
vowed,'V ǝ UH IH D', s, UH IH
with,'W IH DH', s, IH
integrity,'IH N T EH G R AH T IY', s, IH IY
not,'N AA T', s, AA
so,'S OW', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
not,'N AA T', s, AA
so,'S OW', s, 
i,'AY', s, AY
swear,'S W EH R', s, 
we,'W IY', s, IY
had,'HH AE D', s, AE
and,'AH N D', s, 
pleasant,'P L EH Z AH N T', s, 
a,'AH', s, 
mess,'M EH S', s, 
of,'AH V', s, 
left,'L EH F T', s, 
us,'AH S', s, 
but,'B AH T', s, 
of,'AH V', s, 
in,'IH N', s, IH
truth,'T R UW TH', s, UW
my,'M AY', s, AY
lord,'L AO R D', s, AO
trim,'T R IH M', s, IH
full,'F UH L', s, UH
of,'AH V', s, 
courtship,'K AO R T SH IH P', s, AO IH
and,'AH N D', s, 
of,'AH V', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
whhy,'ʍ ǝ IH', s, IH
looks,'L UH K S', s, UH
your,'Y AO R', s, AO
sad,'S AE D', s, AE
no,'N OW', s, 
free,'F R IY', s, IY
that,'DH AE T', s, AE
tokens,'T OW K ǝ N Z', s, 
to,'T UW', s, UW
us,'AH S', s, 
the,'DH AH', s, 
fairest,'F EH R ǝ S T', s, 
is,'IH Z', s, IH
wre,'W ER', s, 
not,'N AA T', s, AA
you,'Y UW', s, UW
but,'B AH T', s, 
even,'IY V IH N', s, IY IH
disguised,'D IH S G ǝ IH Z D', s, IH IH
and,'AH N D', s, 
wre,'W ER', s, 
you,'Y UW', s, UW
well,'W EH L', s, 
advised,'ǝ D V ǝ IH Z D', s, IH
when,'ʍ e N', s, 
you,'Y UW', s, UW
then,'DH EH N', s, 
wre,'W ER', s, 
what,'W AH T', s, 
did,'D IH D', s, IH
you,'Y UW', s, UW
whisper,'ʍ IH S P ǝ R', s, IH
in,'IH N', s, IH
your,'Y AO R', s, AO
ear,'IY R', s, IY
when,'ʍ e N', s, 
she,'SH IY', s, IY
shall,'SH AE L', s, AE
this,'DH IH S', s, IH
you,'Y UW', s, UW
will,'W IH L', s, IH
reject,'R IH JH EH K T', s, IH
forbear,'F ǝ R B EH R', s, 
your,'Y AO R', s, AO
oath,'OW TH', s, 
you,'Y UW', s, UW
not,'N AA T', s, AA
to,'T UW', s, UW
forswear,'F AO R S W EH R', s, AO
i,'AY', s, AY
will,'W IH L', s, IH
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
keep,'K IY P', s, IY
what,'W AH T', s, 
did,'D IH D', s, IH
the,'DH AH', s, 
whisper,'ʍ IH S P ǝ R', s, IH
in,'IH N', s, IH
your,'Y AO R', s, AO
ear,'IY R', s, IY
god,'G AA D', s, AA
thee,'DH IY', s, IY
of,'AH V', s, 
him,'HH IH M', s, IH
the,'DH AH', s, 
lord,'L AO R D', s, AO
most,'M OW S T', s, 
doth,'D AO TH', s, AO
his,'HH IH Z', s, IH
pardon,'P AA R D ǝ N', s, AA
me,'M IY', s, IY
this,'DH IH S', s, IH
did,'D IH D', s, IH
she,'SH IY', s, IY
wear,'W EH R', s, 
and,'AH N D', s, 
lord,'L AO R D', s, AO
berone,'B ə r UW N', s, UW
i,'AY', s, AY
thank,'TH AE NG K', s, AE
him,'HH IH M', s, IH
is,'IH Z', s, IH
my,'M AY', s, AY
dear,'D IY R', s, IY
what,'W AH T', s, 
will,'W IH L', s, IH
you,'Y UW', s, UW
me,'M IY', s, IY
or,'AO R', s, AO
your,'Y AO R', s, AO
pearl,'P ɐ R L', s, 
again,'ǝ ɡ EH N', s, 
my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
let,'L EH T', s, 
me,'M IY', s, IY
you,'Y UW', s, UW
that,'DH AE T', s, AE
sport,'S P AO R T', s, AO
best,'B EH S T', s, 
pleases,'P L IY Z IH Z', s, IY IH
that,'DH AE T', s, AE
doth,'D AO TH', s, AO
least,'L IY S T', s, IY
zeal,'Z IY L', s, IY
to,'T UW', s, UW
content,'K ǝ N T e N T', s, 
and,'AH N D', s, 
the,'DH AH', s, 
contents,'K ǝ N T e N T S', s, 
in,'IH N', s, IH
the,'DH AH', s, 
zeal,'Z IY L', s, IY
of,'AH V', s, 
that,'DH AE T', s, AE
it,'IH T', s, IH
presents,'P r IH Z e N T S', s, IH
their,'DH EH R', s, 
form,'F AO R M', s, AO
confounded,'K AH N F AW N D IH D', s, IH
most,'M OW S T', s, 
form,'F AO R M', s, AO
in,'IH N', s, IH
mirth,'M ɐ R TH', s, 
when,'ʍ e N', s, 
great,'G r e T', s, 
perish,'P EH R IH SH', s, IH
in,'IH N', s, IH
their,'DH EH R', s, 
doth,'D AO TH', s, AO
this,'DH IH S', s, IH
man,'M AE N', s, AE
seve,'S ER V', s, 
god,'G AA D', s, AA
he,'HH IY', s, IY
speaks,'S P IY K S', s, IY
not,'N AA T', s, AA
a,'AH', s, 
man,'M AE N', s, AE
of,'AH V', s, 
god,'G AA D', s, AA
his,'HH IH Z', s, IH
great,'G r e T', s, 
thanks,'TH AE NG K S', s, AE
great,'G r e T', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
good,'G UH D', s, UH
alexander,'AE L AH G Z AE N D ER', s, AE AE
stand,'S T AE N D', s, AE
good,'G UH D', s, UH
alas,'AH L AE S', s, AE
poor,'P UH R', s, UH
hath,'HH AE TH', s, AE
he,'HH IY', s, IY
been,'B IH N', s, IH
baited,'B EH T IH D', s, IH
speak,'S P IY K', s, IY
we,'W IY', s, IY
but,'B AH T', s, 
that,'DH AE T', s, AE
thou,'DH AW', s, 
our,'OW R', s, 
dead,'D EH D', s, 
for,'F AO R', s, AO
my,'M AY', s, AY
boyet,'B ə Y e T', s, 
i,'AY', s, AY
will,'W IH L', s, IH
i,'AY', s, AY
thank,'TH AE NG K', s, AE
you,'Y UW', s, UW
lords,'L AO R D Z', s, AO
for,'F AO R', s, AO
all,'AA L', s, AA
your,'Y AO R', s, AO
fair,'F EH R', s, 
and,'AH N D', s, 
out,'AW T', s, 
of,'AH V', s, 
a,'AH', s, 
soul,'S OW L', s, 
that,'DH AE T', s, AE
you,'Y UW', s, UW
in,'IH N', s, IH
your,'Y AO R', s, AO
rich,'R IH CH', s, IH
wisdom,'W IH Z D AH M', s, IH
to,'T UW', s, UW
or,'AO R', s, AO
the,'DH AH', s, 
of,'AH V', s, 
our,'OW R', s, 
spirits,'S P IH R AH T S', s, IH
if,'IH F', s, IH
we,'W IY', s, IY
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
breath,'B R EH TH', s, 
your,'Y AO R', s, AO
was,'W AA Z', s, AA
guilty,'G IH L T IY', s, IH IY
of,'AH V', s, 
it,'IH T', s, IH
lord,'L AO R D', s, AO
a,'AH', s, 
heavy,'e V ǝ IH', s, IH
heart,'HH AA R T', s, AA
bears,'B EH R Z', s, 
not,'N AA T', s, AA
a,'AH', s, 
me,'M IY', s, IY
so,'S OW', s, 
too,'T UW', s, UW
short,'SH AO R T', s, AO
of,'AH V', s, 
thanks,'TH AE NG K S', s, AE
for,'F AO R', s, AO
my,'M AY', s, AY
great,'G r e T', s, 
suit,'SH UW T', s, UW
so,'S OW', s, 
easily,'IY Z L ǝ IH', s, IY IH
i,'AY', s, AY
you,'Y UW', s, UW
not,'N AA T', s, AA
my,'M AY', s, AY
we,'W IY', s, IY
your,'Y AO R', s, AO
full,'F UH L', s, UH
of,'AH V', s, 
your,'Y AO R', s, AO
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
in,'IH N', s, IH
our,'OW R', s, 
maiden,'M EY D AH N', s, EY
rated,'r EH T IH D', s, IH
them,'DH EH M', s, 
at,'AE T', s, AE
courtship,'K AO R T SH IH P', s, AO IH
pleasant,'P L EH Z AH N T', s, 
jest,'JH EH S T', s, 
and,'AH N D', s, 
as,'AE Z', s, AE
bombast,'B ɒ M B AW S T', s, 
and,'AH N D', s, 
as,'AE Z', s, AE
to,'T UW', s, UW
the,'DH AH', s, 
but,'B AH T', s, 
than,'DH AE N', s, AE
this,'DH IH S', s, IH
in,'IH N', s, IH
our,'OW R', s, 
we,'W IY', s, IY
not,'N AA T', s, AA
been,'B IH N', s, IH
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
met,'M EH T', s, 
your,'Y AO R', s, AO
in,'IH N', s, IH
their,'DH EH R', s, 
fashion,'F AE SH AH N', s, AE
a,'AH', s, 
a,'AH', s, 
methinks,'M IH TH IH NG K S', s, IH IH
too,'T UW', s, UW
short,'SH AO R T', s, AO
to,'T UW', s, UW
a,'AH', s, 
bargain,'B AA R ɡ IH N', s, AA IH
in,'IH N', s, IH
no,'N OW', s, 
no,'N OW', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
your,'Y AO R', s, AO
is,'IH Z', s, IH
perjured,'P ɐ R D ZH ǝ R D', s, 
full,'F UH L', s, UH
of,'AH V', s, 
dear,'D IY R', s, IY
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
this,'DH IH S', s, IH
if,'IH F', s, IH
for,'F AO R', s, AO
my,'M AY', s, AY
is,'IH Z', s, IH
no,'N OW', s, 
you,'Y UW', s, UW
will,'W IH L', s, IH
do,'D OW', s, 
this,'DH IH S', s, IH
shall,'SH AE L', s, AE
you,'Y UW', s, UW
do,'D OW', s, 
for,'F AO R', s, AO
me,'M IY', s, IY
your,'Y AO R', s, AO
oath,'OW TH', s, 
i,'AY', s, AY
will,'W IH L', s, IH
not,'N AA T', s, AA
trust,'T r ɤ S T', s, 
but,'B AH T', s, 
go,'G OW', s, 
with,'W IH DH', s, IH
speed,'S P IY D', s, IY
to,'T UW', s, UW
forlorn,'F AO R L AO R N', s, AO AO
and,'AH N D', s, 
naked,'N EY K AH D', s, EY
from,'F R AH M', s, 
all,'AA L', s, AA
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
until,'AH N T IH L', s, IH
the,'DH AH', s, 
signs,'S ǝ IH N Z', s, IH
the,'DH AH', s, 
if,'IH F', s, IH
this,'DH IH S', s, IH
not,'N AA T', s, AA
your,'Y AO R', s, AO
offer,'ɒ F ǝ R', s, 
in,'IH N', s, IH
of,'AH V', s, 
blood,'B L AH D', s, 
if,'IH F', s, IH
frosts,'F R AO S T S', s, AO
and,'AH N D', s, 
fasts,'F AW S T S', s, 
and,'AH N D', s, 
thin,'TH IH N', s, IH
weeds,'W IY D Z', s, IY
nip,'N IH P', s, IH
not,'N AA T', s, AA
the,'DH AH', s, 
blossoms,'B L AA S AH M Z', s, AA
of,'AH V', s, 
your,'Y AO R', s, AO
but,'B AH T', s, 
that,'DH AE T', s, AE
it,'IH T', s, IH
bear,'B EH R', s, 
this,'DH IH S', s, IH
and,'AH N D', s, 
last,'L AE S T', s, AE
then,'DH EH N', s, 
at,'AE T', s, AE
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
year,'Y IH R', s, IH
me,'M IY', s, IY
me,'M IY', s, IY
by,'B AY', s, AY
deserts,'D IH Z ɐ R T S', s, IH
and,'AH N D', s, 
by,'B AY', s, AY
this,'DH IH S', s, IH
i,'AY', s, AY
will,'W IH L', s, IH
be,'B IY', s, IY
and,'AH N D', s, 
till,'T IH L', s, IH
that,'DH AE T', s, AE
instant,'IH N S T AH N T', s, IH
shut,'SH AH T', s, 
my,'M AY', s, AY
woeful,'W OW F AH L', s, 
self,'S EH L F', s, 
up,'AH P', s, 
in,'IH N', s, IH
a,'AH', s, 
the,'DH AH', s, 
tears,'T EH R Z', s, 
of,'AH V', s, 
for,'F AO R', s, AO
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
death,'D EH TH', s, 
if,'IH F', s, IH
this,'DH IH S', s, IH
thou,'DH AW', s, 
do,'D OW', s, 
let,'L EH T', s, 
our,'OW R', s, 
part,'P AA R T', s, AA
neither,'N EH DH ǝ R', s, 
entitled,'EH N T AY T AH L D', s, AY
in,'IH N', s, IH
the,'DH AH', s, 
heart,'HH AA R T', s, AA
sweet,'S W IY T', s, IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
and,'AH N D', s, 
so,'S OW', s, 
i,'AY', s, AY
my,'M AY', s, AY
was,'W AA Z', s, AA
not,'N AA T', s, AA
that,'DH AE T', s, AE
