in,'IH N', s, IH
can,'K AE N', s, AE
woman,'W UH M AH N', s, UH
me,'M IY', s, IY
unto,'AH N T UW', s, UW
is,'IH Z', s, IH
my,'M AY', s, AY
son,'S AO ̃', s, AO
i,'AY', s, AY
you,'Y UW', s, UW
you,'Y UW', s, UW
this,'DH IH S', s, IH
gentlemen,'JH EH N T AH L M IH N', s, IH
i,'AY', s, AY
prithee,'P r e DH IY', s, IY
lady,'L EY D IY', s, EY IY
a,'AH', s, 
better,'B e T ə R', s, 
if,'IH F', s, IH
thou,'DH AW', s, 
engrossest,'e NG G r ɒ S ǝ S T', s, 
all,'AA L', s, AA
the,'DH AH', s, 
thou,'DH AW', s, 
me,'M IY', s, IY
of,'AH V', s, 
a,'AH', s, 
he,'HH IY', s, IY
was,'W AA Z', s, AA
my,'M AY', s, AY
son,'S AO ̃', s, AO
but,'B AH T', s, 
i,'AY', s, AY
do,'D OW', s, 
wash,'W AA SH', s, AA
his,'HH IH Z', s, IH
out,'AW T', s, 
of,'AH V', s, 
my,'M AY', s, AY
blood,'B L AH D', s, 
and,'AH N D', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
all,'AA L', s, AA
my,'M AY', s, AY
is,'IH Z', s, IH
he,'HH IY', s, IY
and,'AH N D', s, 
to,'T UW', s, UW
be,'B IY', s, IY
a,'AH', s, 
return,'r IH T ɐ R N', s, IH
you,'Y UW', s, UW
you,'Y UW', s, UW
that,'DH AE T', s, AE
in,'IH N', s, IH
until,'AH N T IH L', s, IH
he,'HH IY', s, IY
no,'N OW', s, 
that,'DH AE T', s, AE
is,'IH Z', s, IH
too,'T UW', s, UW
good,'G UH D', s, UH
for,'F AO R', s, AO
him,'HH IH M', s, IH
but,'B AH T', s, 
only,'OW N L IY', s, IY
she,'SH IY', s, IY
and,'AH N D', s, 
she,'SH IY', s, IY
a,'AH', s, 
lord,'L AO R D', s, AO
that,'DH AE T', s, AE
tend,'T EH N D', s, 
upon,'AH P AA N', s, AA
and,'AH N D', s, 
call,'K AO L', s, AO
mistress,'M IH S T R AH S', s, IH
who,'HH UW', s, UW
was,'W AA Z', s, AA
with,'W IH DH', s, IH
him,'HH IH M', s, IH
was,'W AA Z', s, AA
it,'IH T', s, IH
not,'N AA T', s, AA
a,'AH', s, 
very,'V EH R IY', s, IY
tainted,'T EH N T IH D', s, IH
and,'AH N D', s, 
full,'F UH L', s, UH
of,'AH V', s, 
wickedness,'W IH K AH D N AH S', s, IH
my,'M AY', s, AY
son,'S AO ̃', s, AO
corrupts,'K ǝ r ɤ P T S', s, 
a,'AH', s, 
natre,'N EY CH ER', s, EY
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
youre,'Y UH R', s, UH
gentlemen,'JH EH N T AH L M IH N', s, IH
i,'AY', s, AY
will,'W IH L', s, IH
you,'Y UW', s, UW
when,'ʍ e N', s, 
you,'Y UW', s, UW
see,'S IY', s, IY
my,'M AY', s, AY
son,'S AO ̃', s, AO
to,'T UW', s, UW
tell,'T EH L', s, 
him,'HH IH M', s, IH
that,'DH AE T', s, AE
his,'HH IH Z', s, IH
can,'K AE N', s, AE
never,'N e V ǝ R', s, 
win,'W IH N', s, IH
the,'DH AH', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
loses,'L UW Z AH Z', s, UW
you,'Y UW', s, UW
written,'R IH T AH N', s, IH
to,'T UW', s, UW
bear,'B EH R', s, 
not,'N AA T', s, AA
so,'S OW', s, 
but,'B AH T', s, 
as,'AE Z', s, AE
we,'W IY', s, IY
our,'OW R', s, 
will,'W IH L', s, IH
you,'Y UW', s, UW
near,'N IY R', s, IY
alas,'AH L AE S', s, AE
and,'AH N D', s, 
you,'Y UW', s, UW
the,'DH AH', s, 
of,'AH V', s, 
you,'Y UW', s, UW
not,'N AA T', s, AA
she,'SH IY', s, IY
do,'D OW', s, 
as,'AE Z', s, AE
she,'SH IY', s, IY
by,'B AY', s, AY
me,'M IY', s, IY
a,'AH', s, 
read,'r e D', s, 
it,'IH T', s, IH
again,'ǝ ɡ EH N', s, 
what,'W AH T', s, 
sharp,'SH AA R P', s, AA
in,'IH N', s, IH
rinaldo,'R IH N AA L D OW', s, IH AA
you,'Y UW', s, UW
did,'D IH D', s, IH
never,'N e V ǝ R', s, 
lack,'L AE K', s, AE
so,'S OW', s, 
as,'AE Z', s, AE
pass,'P AE S', s, AE
so,'S OW', s, 
had,'HH AE D', s, AE
i,'AY', s, AY
with,'W IH DH', s, IH
i,'AY', s, AY
well,'W EH L', s, 
diverted,'D IH V ɐ R T IH D', s, IH IH
intents,'IH N T EH N T S', s, IH
thus,'DH ɤ S', s, 
she,'SH IY', s, IY
hath,'HH AE TH', s, AE
prevented,'P R IH V EH N T IH D', s, IH IH
what,'W AH T', s, 
angel,'EY N JH AH L', s, EY
shall,'SH AE L', s, AE
bless,'B L EH S', s, 
this,'DH IH S', s, IH
he,'HH IY', s, IY
cannot,'K AE N AA T', s, AE AA
thhrve,'TH R AY V', s, AY
unless,'ɤ N L e S', s, 
whom,'HH UW M', s, UW
heaven,'HH EH V AH N', s, 
to,'T UW', s, UW
and,'AH N D', s, 
to,'T UW', s, UW
grant,'G r AO N T', s, AO
him,'HH IH M', s, IH
from,'F R AH M', s, 
the,'DH AH', s, 
wrath,'R AE TH', s, AE
of,'AH V', s, 
greatest,'G r e T ǝ S T', s, 
rinaldo,'R IH N AA L D OW', s, IH AA
to,'T UW', s, UW
this,'DH IH S', s, IH
of,'AH V', s, 
his,'HH IH Z', s, IH
let,'L EH T', s, 
every,'e V r ǝ IH', s, IH
heavy,'e V ǝ IH', s, IH
of,'AH V', s, 
worth,'W AO R TH', s, AO
that,'DH AE T', s, AE
he,'HH IY', s, IY
does,'D AH Z', s, 
too,'T UW', s, UW
my,'M AY', s, AY
greatest,'G r e T ǝ S T', s, 
grief,'G R IY F', s, IY
he,'HH IY', s, IY
do,'D OW', s, 
feel,'F IY L', s, IY
it,'IH T', s, IH
set,'S EH T', s, 
down,'D ǝ UH N', s, UH
the,'DH AH', s, 
most,'M OW S T', s, 
when,'ʍ e N', s, 
haply,'AW P L ǝ IH', s, IH
he,'HH IY', s, IY
shall,'SH AE L', s, AE
that,'DH AE T', s, AE
she,'SH IY', s, IY
is,'IH Z', s, IH
he,'HH IY', s, IY
will,'W IH L', s, IH
return,'r IH T ɐ R N', s, IH
and,'AH N D', s, 
i,'AY', s, AY
that,'DH AE T', s, AE
she,'SH IY', s, IY
so,'S OW', s, 
will,'W IH L', s, IH
speed,'S P IY D', s, IY
foot,'F UH T', s, UH
again,'ǝ ɡ EH N', s, 
led,'L EH D', s, 
by,'B AY', s, AY
of,'AH V', s, 
them,'DH EH M', s, 
both,'B OW TH', s, 
is,'IH Z', s, IH
dearest,'D IY R ǝ S T', s, IY
to,'T UW', s, UW
me,'M IY', s, IY
i,'AY', s, AY
no,'N OW', s, 
skill,'S K IH L', s, IH
in,'IH N', s, IH
to,'T UW', s, UW
distinction,'D IH S T IH NG K SH AH N', s, IH IH
this,'DH IH S', s, IH
my,'M AY', s, AY
heart,'HH AA R T', s, AA
is,'IH Z', s, IH
heavy,'e V ǝ IH', s, IH
and,'AH N D', s, 
is,'IH Z', s, IH
weak,'W IY K', s, IY
grief,'G R IY F', s, IY
tears,'T EH R Z', s, 
and,'AH N D', s, 
bids,'B IH D Z', s, IH
me,'M IY', s, IY
speak,'S P IY K', s, IY
i,'AY', s, AY
i,'AY', s, AY
had,'HH AE D', s, AE
not,'N AA T', s, AA
him,'HH IH M', s, IH
it,'IH T', s, IH
was,'W AA Z', s, AA
the,'DH AH', s, 
death,'D EH TH', s, 
of,'AH V', s, 
the,'DH AH', s, 
most,'M OW S T', s, 
virtuous,'V ER CH UW AH S', s, UW
gentlewoman,'JH EH N T AH L W UH M AH N', s, UH
that,'DH AE T', s, AE
natre,'N EY CH ER', s, EY
had,'HH AE D', s, AE
for,'F AO R', s, AO
creating,'K r IY EH T IH N', s, IY IH
if,'IH F', s, IH
she,'SH IY', s, IY
had,'HH AE D', s, AE
of,'AH V', s, 
my,'M AY', s, AY
flesh,'F L EH SH', s, 
and,'AH N D', s, 
cost,'K AA S T', s, AA
me,'M IY', s, IY
the,'DH AH', s, 
dearest,'D IY R ǝ S T', s, IY
groans,'G r OW N Z', s, 
of,'AH V', s, 
a,'AH', s, 
i,'AY', s, AY
not,'N AA T', s, AA
a,'AH', s, 
rooted,'R UW T AH D', s, UW
so,'S OW', s, 
he,'HH IY', s, IY
is,'IH Z', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
himself,'HH IH M S EH L F', s, IH
sport,'S P AO R T', s, AO
out,'AW T', s, 
of,'AH V', s, 
him,'HH IH M', s, IH
by,'B AY', s, AY
his,'HH IH Z', s, IH
he,'HH IY', s, IY
remains,'r IH M EH N Z', s, IH
he,'HH IY', s, IY
thinks,'TH IH NG K S', s, IH
is,'IH Z', s, IH
a,'AH', s, 
patent,'P AW T ǝ N T', s, 
for,'F AO R', s, AO
his,'HH IH Z', s, IH
and,'AH N D', s, 
indeed,'IH N D IY D', s, IH IY
he,'HH IY', s, IY
no,'N OW', s, 
but,'B AH T', s, 
runs,'R AH N Z', s, 
he,'HH IY', s, IY
will,'W IH L', s, IH
with,'W IH DH', s, IH
very,'V EH R IY', s, IY
content,'K ǝ N T e N T', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
and,'AH N D', s, 
i,'AY', s, AY
wish,'W IH SH', s, IH
it,'IH T', s, IH
effected,'IH F EH K T AH D', s, IH
it,'IH T', s, IH
me,'M IY', s, IY
that,'DH AE T', s, AE
i,'AY', s, AY
i,'AY', s, AY
shall,'SH AE L', s, AE
see,'S IY', s, IY
him,'HH IH M', s, IH
i,'AY', s, AY
i,'AY', s, AY
that,'DH AE T', s, AE
my,'M AY', s, AY
son,'S AO ̃', s, AO
will,'W IH L', s, IH
be,'B IY', s, IY
i,'AY', s, AY
shall,'SH AE L', s, AE
beseech,'B IY S IY CH', s, IY IY
your,'Y AO R', s, AO
to,'T UW', s, UW
remain,'r IH M EH N', s, IH
with,'W IH DH', s, IH
me,'M IY', s, IY
till,'T IH L', s, IH
meet,'M IY T', s, IY
you,'Y UW', s, UW
need,'N IY D', s, IY
but,'B AH T', s, 
plead,'P L IY D', s, IY
your,'Y AO R', s, AO
honorale,'AA N ER AH B AH L', s, AA
past,'P AW S T', s, 
my,'M AY', s, AY
and,'AH N D', s, 
i,'AY', s, AY
beseech,'B IY S IY CH', s, IY IY
your,'Y AO R', s, AO
majesty,'M AE JH AH S T IY', s, AE IY
to,'T UW', s, UW
it,'IH T', s, IH
of,'AH V', s, 
youth,'Y UW TH', s, UW
when,'ʍ e N', s, 
and,'AH N D', s, 
too,'T UW', s, UW
for,'F AO R', s, AO
it,'IH T', s, IH
and,'AH N D', s, 
on,'AA N', s, AA
better,'B e T ə R', s, 
than,'DH AE N', s, AE
the,'DH AH', s, 
o,'OW', s, 
dear,'D IY R', s, IY
heaven,'HH EH V AH N', s, 
bless,'B L EH S', s, 
or,'AO R', s, AO
meet,'M IY T', s, IY
in,'IH N', s, IH
me,'M IY', s, IY
o,'OW', s, 
natre,'N EY CH ER', s, EY
son,'S AO ̃', s, AO
on,'AA N', s, AA
my,'M AY', s, AY
i,'AY', s, AY
seen,'S IY N', s, IY
wear,'W EH R', s, 
it,'IH T', s, IH
and,'AH N D', s, 
she,'SH IY', s, IY
it,'IH T', s, IH
at,'AE T', s, AE
on,'AA N', s, AA
the,'DH AH', s, 
doers,'D UW ER Z', s, UW
he,'HH IY', s, IY
blushes,'B L ɤ SH IH Z', s, IH
and,'AH N D', s, 
of,'AH V', s, 
that,'DH AE T', s, AE
gem,'JH EH M', s, 
by,'B AY', s, AY
testament,'T EH S T AH M AH N T', s, 
to,'T UW', s, UW
hath,'HH AE TH', s, AE
it,'IH T', s, IH
been,'B IH N', s, IH
and,'AH N D', s, 
worn,'W AO R N', s, AO
this,'DH IH S', s, IH
is,'IH Z', s, IH
his,'HH IH Z', s, IH
that,'DH AE T', s, AE
a,'AH', s, 
proofs,'P R UW F S', s, UW
