if,'IH F', s, IH
well,'W EH L', s, 
then,'DH EH N', s, 
who,'HH UW', s, UW
dost,'D AA S T', s, AA
thou,'DH AW', s, 
mean,'M IY N', s, IY
shall,'SH AE L', s, AE
be,'B IY', s, IY
what,'W AH T', s, 
thou,'DH AW', s, 
thou,'DH AW', s, 
woo,'W UW', s, UW
and,'AH N D', s, 
wilt,'W IH L T', s, IH
thou,'DH AW', s, 
of,'AH V', s, 
me,'M IY', s, IY
send,'S EH N D', s, 
to,'T UW', s, UW
by,'B AY', s, AY
the,'DH AH', s, 
man,'M AE N', s, AE
that,'DH AE T', s, AE
a,'AH', s, 
pair,'P EH R', s, 
of,'AH V', s, 
hearts,'HH AA R T S', s, AA
thereon,'DH EH R ɒ N', s, 
edward,'e D W ǝ R D', s, 
and,'AH N D', s, 
york,'Y AO R K', s, AO
then,'DH EH N', s, 
haply,'AW P L ǝ IH', s, IH
will,'W IH L', s, IH
she,'SH IY', s, IY
weep,'W IY P', s, IY
therefre,'DH EH R F AO R', s, AO
present,'P r IH Z e N T', s, IH
to,'T UW', s, UW
sometme,'S AH M T AY M', s, AY
did,'D IH D', s, IH
to,'T UW', s, UW
in,'IH N', s, IH
blood,'B L AH D', s, 
a,'AH', s, 
handkerchief,'AW NG K ǝ R ˌ T SH IH F', s, IH
to,'T UW', s, UW
did,'D IH D', s, IH
drain,'D r EH N', s, 
the,'DH AH', s, 
sap,'S AE P', s, AE
from,'F R AH M', s, 
sweet,'S W IY T', s, IY
body,'B AA D IY', s, AA IY
and,'AH N D', s, 
bid,'B IH D', s, IH
withal,'W IH DH AA L', s, IH AA
if,'IH F', s, IH
this,'DH IH S', s, IH
not,'N AA T', s, AA
to,'T UW', s, UW
send,'S EH N D', s, 
a,'AH', s, 
of,'AH V', s, 
deeds,'D IY D Z', s, IY
tell,'T EH L', s, 
thou,'DH AW', s, 
rivers,'r IH V ǝ R Z', s, IH
and,'AH N D', s, 
for,'F AO R', s, AO
conveyace,'K AH N V EY AH N S', s, EY
with,'W IH DH', s, IH
good,'G UH D', s, UH
aunt,'AO N T', s, AO
is,'IH Z', s, IH
no,'N OW', s, 
unless,'ɤ N L e S', s, 
thou,'DH AW', s, 
put,'P UH T', s, UH
on,'AA N', s, AA
and,'AH N D', s, 
not,'N AA T', s, AA
be,'B IY', s, IY
that,'DH AE T', s, AE
hath,'HH AE TH', s, AE
all,'AA L', s, AA
this,'DH IH S', s, IH
then,'DH EH N', s, 
indeed,'IH N D IY D', s, IH IY
she,'SH IY', s, IY
cannot,'K AE N AA T', s, AE AA
but,'B AH T', s, 
thee,'DH IY', s, IY
with,'W IH DH', s, IH
a,'AH', s, 
bloody,'B L AH D IY', s, IY
what,'W AH T', s, 
wre,'W ER', s, 
i,'AY', s, AY
best,'B EH S T', s, 
to,'T UW', s, UW
be,'B IY', s, IY
lord,'L AO R D', s, AO
or,'AO R', s, AO
shall,'SH AE L', s, AE
i,'AY', s, AY
or,'AO R', s, AO
he,'HH IY', s, IY
that,'DH AE T', s, AE
and,'AH N D', s, 
uncles,'AH NG K AH L Z', s, 
under,'ɤ N D ǝ R', s, 
what,'W AH T', s, 
shall,'SH AE L', s, AE
i,'AY', s, AY
woo,'W UW', s, UW
for,'F AO R', s, AO
thee,'DH IY', s, IY
that,'DH AE T', s, AE
god,'G AA D', s, AA
the,'DH AH', s, 
my,'M AY', s, AY
and,'AH N D', s, 
can,'K AE N', s, AE
seem,'S IY M', s, IY
to,'T UW', s, UW
tender,'T e N D ǝ R', s, 
years,'Y IH R Z', s, IH
she,'SH IY', s, IY
shall,'SH AE L', s, AE
with,'W IH DH', s, IH
war,'W AO R', s, AO
that,'DH AE T', s, AE
at,'AE T', s, AE
the,'DH AH', s, 
to,'T UW', s, UW
vail,'V EY L', s, EY
the,'DH AH', s, 
as,'AE Z', s, AE
doth,'D AO TH', s, AO
but,'B AH T', s, 
shall,'SH AE L', s, AE
that,'DH AE T', s, AE
last,'L AE S T', s, AE
but,'B AH T', s, 
fairly,'F EH R L IY', s, IY
shall,'SH AE L', s, AE
sweet,'S W IY T', s, IY
last,'L AE S T', s, AE
as,'AE Z', s, AE
as,'AE Z', s, AE
and,'AH N D', s, 
of,'AH V', s, 
it,'IH T', s, IH
but,'B AH T', s, 
she,'SH IY', s, IY
your,'Y AO R', s, AO
subject,'S AH B JH EH K T', s, 
an,'AE N', s, AE
speeds,'S P IY D Z', s, IY
best,'B EH S T', s, 
being,'B IY IH NG', s, IY IH
told,'T OW L D', s, 
plain,'P L EH N', s, 
and,'AH N D', s, 
not,'N AA T', s, AA
is,'IH Z', s, IH
too,'T UW', s, UW
a,'AH', s, 
o,'OW', s, 
no,'N OW', s, 
my,'M AY', s, AY
reasons,'r EH Z ǝ N Z', s, 
too,'T UW', s, UW
deep,'D IY P', s, IY
and,'AH N D', s, 
dead,'D EH D', s, 
too,'T UW', s, UW
deep,'D IY P', s, IY
and,'AH N D', s, 
dead,'D EH D', s, 
poor,'P UH R', s, UH
infants,'IH N F AH N T S', s, IH
in,'IH N', s, IH
their,'DH EH R', s, 
on,'AA N', s, AA
it,'IH T', s, IH
still,'S T IH L', s, IH
shall,'SH AE L', s, AE
i,'AY', s, AY
till,'T IH L', s, IH
break,'B R EY K', s, EY
and,'AH N D', s, 
the,'DH AH', s, 
by,'B AY', s, AY
for,'F AO R', s, AO
this,'DH IH S', s, IH
is,'IH Z', s, IH
no,'N OW', s, 
oath,'OW TH', s, 
hath,'HH AE TH', s, AE
lost,'L AO S T', s, AO
his,'HH IH Z', s, IH
garter,'G AA R T ǝ R', s, AA
his,'HH IH Z', s, IH
crown,'K r ǝ UH N', s, UH
his,'HH IH Z', s, IH
if,'IH F', s, IH
thou,'DH AW', s, 
swear,'S W EH R', s, 
to,'T UW', s, UW
be,'B IY', s, IY
swear,'S W EH R', s, 
then,'DH EH N', s, 
by,'B AY', s, AY
that,'DH AE T', s, AE
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
not,'N AA T', s, AA
is,'IH Z', s, IH
full,'F UH L', s, UH
of,'AH V', s, 
hath,'HH AE TH', s, AE
it,'IH T', s, IH
is,'IH Z', s, IH
most,'M OW S T', s, 
of,'AH V', s, 
all,'AA L', s, AA
if,'IH F', s, IH
thou,'DH AW', s, 
fear,'F IY R', s, IY
to,'T UW', s, UW
break,'B R EY K', s, EY
an,'AE N', s, AE
oath,'OW TH', s, 
with,'W IH DH', s, IH
him,'HH IH M', s, IH
the,'DH AH', s, 
the,'DH AH', s, 
my,'M AY', s, AY
thou,'DH AW', s, 
not,'N AA T', s, AA
broken,'B R OW K AH N', s, 
nor,'N AO R', s, AO
my,'M AY', s, AY
died,'D AY D', s, AY
if,'IH F', s, IH
thou,'DH AW', s, 
to,'T UW', s, UW
break,'B R EY K', s, EY
an,'AE N', s, AE
oath,'OW TH', s, 
by,'B AY', s, AY
him,'HH IH M', s, IH
metal,'M EH T AH L', s, 
had,'HH AE D', s, AE
the,'DH AH', s, 
tender,'T e N D ǝ R', s, 
temples,'T EH M P AH L Z', s, 
of,'AH V', s, 
my,'M AY', s, AY
child,'CH AY L D', s, AY
and,'AH N D', s, 
both,'B OW TH', s, 
the,'DH AH', s, 
princes,'P R IH N S AH Z', s, IH
had,'HH AE D', s, AE
been,'B IH N', s, IH
tender,'T e N D ǝ R', s, 
for,'F AO R', s, AO
dust,'D AH S T', s, 
broken,'B R OW K AH N', s, 
faith,'F EY TH', s, EY
hath,'HH AE TH', s, AE
the,'DH AH', s, 
for,'F AO R', s, AO
what,'W AH T', s, 
thou,'DH AW', s, 
swear,'S W EH R', s, 
by,'B AY', s, AY
that,'DH AE T', s, AE
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
for,'F AO R', s, AO
i,'AY', s, AY
myself,'M AY S EH L F', s, AY
tears,'T EH R Z', s, 
to,'T UW', s, UW
wash,'W AA SH', s, AA
for,'F AO R', s, AO
past,'P AW S T', s, 
by,'B AY', s, AY
thee,'DH IY', s, IY
the,'DH AH', s, 
children,'CH IH L D R AH N', s, IH
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
youth,'Y UW TH', s, UW
to,'T UW', s, UW
wail,'W EH L', s, 
it,'IH T', s, IH
in,'IH N', s, IH
their,'DH EH R', s, 
the,'DH AH', s, 
parents,'P EH R AH N T S', s, 
children,'CH IH L D R AH N', s, IH
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
old,'OW L D', s, 
barren,'B AE R AH N', s, AE
plants,'P L AW N T S', s, 
to,'T UW', s, UW
wail,'W EH L', s, 
it,'IH T', s, IH
with,'W IH DH', s, IH
their,'DH EH R', s, 
swear,'S W EH R', s, 
not,'N AA T', s, AA
by,'B AY', s, AY
to,'T UW', s, UW
for,'F AO R', s, AO
that,'DH AE T', s, AE
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
misused,'M IH S Y UW Z D', s, IH UW
used,'Y UW Z D', s, UW
by,'B AY', s, AY
illl-used,'ˌ IH L - Y UW Z D', s, IH UW
shall,'SH AE L', s, AE
i,'AY', s, AY
be,'B IY', s, IY
tempted,'T EH M P T AH D', s, 
of,'AH V', s, 
the,'DH AH', s, 
devil,'D IH V ǝ L', s, IH
thus,'DH ɤ S', s, 
shall,'SH AE L', s, AE
i,'AY', s, AY
myself,'M AY S EH L F', s, AY
to,'T UW', s, UW
be,'B IY', s, IY
myself,'M AY S EH L F', s, AY
yet,'Y EH T', s, 
thou,'DH AW', s, 
kill,'K IH L', s, IH
my,'M AY', s, AY
children,'CH IH L D R AH N', s, IH
shall,'SH AE L', s, AE
i,'AY', s, AY
go,'G OW', s, 
win,'W IH N', s, IH
my,'M AY', s, AY
to,'T UW', s, UW
will,'W IH L', s, IH
i,'AY', s, AY
go,'G OW', s, 
to,'T UW', s, UW
me,'M IY', s, IY
very,'V EH R IY', s, IY
shortly,'SH AO R T L IY', s, AO IY
and,'AH N D', s, 
you,'Y UW', s, UW
shall,'SH AE L', s, AE
from,'F R AH M', s, 
me,'M IY', s, IY
