filename,stop,affricate,fricative,liquid,glide,nasal
Ant_MESSENGERS.ANTONY.3,17.95,0.0,46.16,15.39,7.7,12.83
Ant_MESSENGERS.CAESAR.1,32.72,0.94,35.52,14.96,0.0,15.89
Ant_MESSENGERS.CAESAR.2,28.04,0.76,32.58,14.4,4.55,19.7
Ant_MESSENGERS.X.1,23.08,0.0,15.39,30.77,0.0,30.77
Ant_MESSENGERS.X.2,29.75,1.18,27.64,10.78,4.92,25.77
Ant_MESSENGERS.X.3,21.06,0.0,47.37,15.79,0.0,15.79
Ant_MESSENGERS.X.4,33.34,0.0,33.34,16.67,0.0,16.67
Ant_MESSENGERS.X.5,33.34,0.0,25.0,8.34,0.0,33.34
Ant_Maecenas,32.76,1.93,29.29,13.11,6.56,16.38
Ant_Mardian,33.21,1.2,26.4,9.2,6.0,24.0
Ant_Menas,29.56,0.72,31.95,15.62,6.32,15.86
Ant_Octavia,32.34,0.86,24.2,19.06,6.0,17.56
Ant_Octavius,30.64,1.9,29.96,14.04,5.8,17.69
Ant_Philo,32.54,1.21,32.54,13.66,3.62,16.47
Ant_Pompey,30.06,1.49,31.97,12.74,5.78,17.98
Ant_Proculeius,30.25,1.22,29.52,17.32,6.83,14.88
Ant_SERVANTS,57.15,0.0,42.86,0.0,0.0,0.0
Ant_SERVANTS.0.1,32.09,2.24,28.36,16.42,5.98,14.93
Ant_SERVANTS.0.2,28.58,0.9,37.5,11.61,2.68,18.75
Ant_SERVANTS.X.1,0.0,11.12,44.45,11.12,0.0,33.34
Ant_SERVANTS.X.2,33.34,0.0,33.34,20.0,0.0,13.34
Ant_SOLDIERS.ANTONY,27.59,6.9,24.14,13.8,3.45,24.14
Ant_SOLDIERS.ANTONY.0.1,27.9,2.73,31.3,14.29,8.17,15.65
Ant_SOLDIERS.ANTONY.0.2,27.39,3.19,29.3,14.02,8.29,17.84
Ant_SOLDIERS.ANTONY.0.3,33.34,3.51,22.81,10.53,7.02,22.81
Ant_SOLDIERS.ANTONY.0.4,30.0,5.0,25.0,12.5,5.0,22.5
Ant_SOLDIERS.ANTONY.X.1,32.94,1.8,28.75,10.78,7.19,18.57
Ant_SOLDIERS.ANTONY.X.2,39.4,0.0,30.31,15.16,3.04,12.13
Ant_SOLDIERS.ANTONY.X.3,20.87,0.87,45.22,13.05,2.61,17.4
Ant_SOLDIERS.CAESAR.X.1,28.45,0.92,30.28,10.1,6.43,23.86
Ant_Scarus,30.22,2.11,32.32,14.35,4.21,16.83
Ant_Seleucus,28.01,4.0,26.0,12.0,6.0,24.0
Ant_Silius,30.0,2.67,30.67,14.67,6.67,15.34
Ant_Soothsayer,26.09,2.72,31.25,14.41,7.61,17.94
Ant_Taurus,25.0,0.0,0.0,50.0,0.0,25.0
Ant_Thidias,31.15,1.1,31.7,12.3,5.74,18.04
Ant_Varrius,28.34,1.67,36.67,15.0,1.67,16.67
Ant_Ventidius,26.66,2.21,32.52,11.74,6.61,20.3
Ant_WATCHMEN.1,31.92,0.0,34.05,12.77,8.52,12.77
Ant_WATCHMEN.2,33.34,0.0,37.5,8.34,8.34,12.5
Ant_WATCHMEN.Sentry,26.59,0.0,36.71,17.09,5.07,14.56
Cor_AEDILES,50.0,0.0,50.0,0.0,0.0,0.0
Cor_AEDILES.X.2,22.23,0.0,40.28,13.89,5.56,18.06
Cor_AEDILES.X.3,24.68,0.0,33.77,20.78,7.8,12.99
Cor_Adrian,29.44,2.01,26.76,12.71,8.03,21.08
Cor_Aufidius,29.01,1.6,31.1,14.13,5.34,18.86
Cor_CITIZENS.ANTIUM.1,23.69,0.0,52.64,7.9,5.27,10.53
Cor_CITIZENS.ROMAN,32.29,0.0,30.71,13.0,6.7,17.33
Cor_CITIZENS.ROMAN.0.1,31.65,0.83,31.53,13.53,6.71,15.77
Cor_CITIZENS.ROMAN.0.2,31.6,0.96,29.93,14.73,7.37,15.44
Cor_CITIZENS.ROMAN.0.3,33.34,0.0,29.94,12.04,7.41,17.29
Cor_CITIZENS.ROMAN.1,32.78,0.56,30.56,11.67,5.0,19.45
Cor_CITIZENS.ROMAN.2,23.51,1.39,31.34,10.6,12.91,20.28
Cor_CITIZENS.ROMAN.3,29.61,0.35,31.69,12.22,9.45,16.71
Cor_CITIZENS.ROMAN.4,28.58,1.37,26.54,13.61,8.17,21.77
Cor_CITIZENS.ROMAN.5,26.93,1.29,25.65,16.67,7.7,21.8
Cor_CITIZENS.ROMAN.6,27.85,0.0,21.52,11.4,3.8,35.45
Cor_CITIZENS.ROMAN.7,30.44,1.09,21.74,15.22,2.18,29.35
Cor_CITIZENS.ROMAN.8,26.42,0.0,16.99,15.1,3.78,37.74
Cor_CITIZENS.VOLSCIAN,37.78,0.0,26.67,15.56,0.0,20.0
Cor_CONSPIRATORS,36.85,0.0,15.79,36.85,0.0,10.53
Cor_CONSPIRATORS.0.1,31.46,0.81,23.39,20.97,5.65,17.75
Cor_CONSPIRATORS.0.2,26.86,1.86,27.78,22.23,7.41,13.89
Cor_CONSPIRATORS.0.3,23.72,1.55,33.51,20.62,8.77,11.86
Cor_Cominius,29.0,1.22,31.88,14.5,6.18,17.24
Cor_Coriolanus,28.5,1.54,30.88,14.17,6.46,18.47
Cor_Gentlewoman,29.42,0.0,29.42,17.65,5.89,17.65
Cor_Herald,21.82,0.0,27.28,14.55,10.91,25.46
Cor_LORDS.VOLSCIAN,23.08,0.0,30.77,23.08,11.54,11.54
Cor_LORDS.VOLSCIAN.0.1,29.09,1.03,31.64,15.82,6.13,16.33
Cor_LORDS.VOLSCIAN.0.2,28.48,1.39,36.12,15.28,3.48,15.28
Cor_LORDS.VOLSCIAN.0.3,36.18,0.0,21.28,21.28,10.64,10.64
Cor_Lartius,30.05,2.01,32.19,15.17,5.16,15.46
Cor_MESSENGERS.TRIBUNES.1,26.46,1.35,32.29,15.7,4.49,19.74
Cor_MESSENGERS.TRIBUNES.2,31.99,1.22,29.15,15.79,5.27,16.6
Cor_MESSENGERS.X.1,0.0,0.0,50.0,21.43,7.15,21.43
Cor_MESSENGERS.X.2,25.0,0.0,39.29,7.15,10.72,17.86
Cor_MESSENGERS.X.3,28.58,1.91,33.34,17.15,2.86,16.2
Cor_MESSENGERS.X.4,30.41,1.36,35.14,11.49,1.36,20.28
Cor_Menenius,29.8,1.25,29.6,14.41,7.44,17.54
Cor_NOBLES.0.1,33.34,0.0,16.67,16.67,16.67,16.67
Cor_Nicanor,26.26,0.92,30.14,15.76,5.94,21.01
Cor_OFFICERS.1,27.68,0.9,34.83,14.29,2.68,19.65
Cor_OFFICERS.2,28.26,1.11,36.29,14.69,2.78,16.9
Cor_SENATORS.ROMAN,33.34,2.57,23.08,17.95,7.7,15.39
Cor_SENATORS.ROMAN.0.1,31.13,0.93,28.73,15.29,7.0,16.95
Cor_SENATORS.ROMAN.0.2,32.92,1.27,27.85,11.4,10.13,16.46
Cor_SENATORS.VOLSCIAN,25.0,0.0,41.67,16.67,16.67,0.0
Cor_SENATORS.VOLSCIAN.0.1,22.44,0.49,32.2,18.54,10.25,16.1
Cor_SENATORS.VOLSCIAN.0.2,30.0,0.0,25.56,22.23,8.89,13.34
Cor_SERVANTS.1,30.28,2.07,29.13,13.08,7.8,17.67
Cor_SERVANTS.2,29.63,0.9,32.97,11.59,6.24,18.71
Cor_SERVANTS.3,26.41,1.45,33.77,14.29,7.8,16.31
Cor_SOLDIERS.ROMAN,35.3,0.0,23.53,17.65,5.89,17.65
Cor_SOLDIERS.ROMAN.0.1,24.22,0.0,40.0,16.85,3.16,15.79
Cor_SOLDIERS.ROMAN.0.2,30.44,0.0,26.09,17.4,4.35,21.74
Cor_SOLDIERS.ROMAN.0.3,29.63,0.0,33.34,18.52,3.71,14.82
Cor_SOLDIERS.ROMAN.Lieutenant,28.58,0.0,28.58,28.58,0.0,14.29
Cor_SOLDIERS.VOLSCIAN.0.1,40.0,0.0,26.67,13.34,6.67,13.34
Cor_SOLDIERS.VOLSCIAN.Lieutenant,25.37,2.18,29.72,14.5,8.7,19.57
Cor_TRIBUNES.Brutus,30.57,1.12,30.83,13.58,7.17,16.76
Cor_TRIBUNES.Sicinius,30.04,1.41,31.65,13.29,6.94,16.7
Cor_Valeria,30.25,0.82,28.62,14.15,7.81,18.38
Cor_Virgilia,32.43,1.14,25.18,13.84,6.35,21.09
Cor_Volumnia,28.65,1.44,31.44,13.87,6.8,17.82
Cor_WATCHMEN.1,26.5,1.71,28.42,15.6,10.05,17.74
Cor_WATCHMEN.2,27.82,1.51,31.58,11.28,12.79,15.04
Cor_YoungMartius,34.62,0.0,15.39,23.08,3.85,23.08
Cym_ATTENDANTS.0.1,27.03,2.71,27.03,16.22,8.11,18.92
Cym_ATTENDANTS.0.2,25.13,2.9,24.64,19.33,6.29,21.74
Cym_ATTENDANTS.1,29.16,2.72,34.59,12.23,4.29,17.04
Cym_ATTENDANTS.2,33.6,2.4,28.01,12.8,6.4,16.8
Cym_ATTENDANTS.3,18.47,3.08,24.62,20.0,9.24,24.62
Cym_ATTENDANTS.CLOTEN.1,31.48,0.56,31.2,12.54,8.64,15.6
Cym_ATTENDANTS.CLOTEN.2,29.63,1.02,31.65,14.99,5.9,16.84
Cym_Arviragus,27.82,1.32,32.05,15.61,6.14,17.1
Cym_Belarius,27.79,1.44,32.61,13.87,5.31,19.0
Cym_Cloten,28.58,1.34,31.2,13.12,5.74,20.05
Cym_Cornelius,30.67,2.48,31.81,12.1,6.96,16.0
Cym_Cymbeline,28.67,1.56,31.49,13.79,6.39,18.13
Cym_Frenchman,28.92,2.44,30.28,12.98,5.95,19.46
Cym_GHOSTS.BROTHERS.1,33.34,4.58,28.76,13.73,4.58,15.04
Cym_GHOSTS.BROTHERS.2,29.6,3.07,26.54,17.35,5.11,18.37
Cym_GHOSTS.Father,29.57,1.96,32.83,16.09,4.14,15.44
Cym_GHOSTS.Mother,31.94,2.53,31.1,9.25,4.21,21.01
Cym_Guiderius,29.53,1.01,31.89,13.07,6.36,18.17
Cym_Iachimo,30.15,2.39,29.56,13.84,5.97,18.13
Cym_Imogen,30.34,1.26,30.35,14.12,5.39,18.56
Cym_JAILERS.1,29.74,2.08,27.81,12.59,8.44,19.37
Cym_JAILERS.2,40.0,0.0,20.0,20.0,0.0,20.0
Cym_Jupiter,30.64,1.21,29.13,17.72,5.11,16.22
Cym_LADIES.IMOGEN,29.27,1.63,27.65,14.64,6.51,20.33
Cym_LADIES.QUEEN,25.0,0.0,33.34,16.67,16.67,8.34
Cym_LADIES.QUEEN.0.1,26.67,0.0,26.67,13.34,13.34,20.0
Cym_Lucius,28.45,1.49,32.68,13.41,5.37,18.64
Cym_MESSENGERS.1,13.64,0.0,40.91,18.19,9.1,18.19
Cym_MESSENGERS.2,27.78,0.0,27.78,16.67,5.56,22.23
Cym_MUSICIANS,30.34,0.0,38.21,13.49,4.5,13.49
Cym_Philario,26.88,1.58,29.67,13.62,7.68,20.6
Cym_Pisanio,29.06,1.58,28.96,14.52,5.77,20.14
Cym_Posthumus,30.01,1.5,29.3,14.26,5.79,19.17
Cym_Queen,30.13,2.06,32.13,12.32,5.81,17.59
Cym_SENATORS.1,25.75,2.48,34.16,12.38,5.95,19.31
Cym_SENATORS.2,0,0,0,0,0,0
Cym_SOLDIERS.BRITON.0.1,35.0,3.34,30.0,13.34,1.67,16.67
Cym_SOLDIERS.BRITON.0.2,23.87,0.0,37.5,15.91,4.55,18.19
Cym_SOLDIERS.ROMAN.0.1,28.19,1.35,30.88,15.44,6.05,18.13
Cym_Soothsayer,28.02,2.61,32.09,14.01,4.24,19.06
Cym_TRIBUNES.0.1,12.5,9.38,28.13,21.88,9.38,18.75
Err_Abbess,29.34,1.81,32.39,13.62,4.0,18.86
Err_Adriana,30.93,1.27,30.47,12.88,5.3,19.18
Err_Angelo,26.61,3.31,30.99,10.9,7.5,20.72
Err_AntipholusOfEphesus,30.02,1.79,28.56,12.55,6.24,20.86
Err_AntipholusOfSyracuse,27.41,1.52,29.98,13.68,6.17,21.27
Err_Balthasar,31.24,1.46,25.67,13.81,8.72,19.13
Err_Courtesan,26.3,2.31,31.29,11.71,6.15,22.27
Err_DromioOfEphesus,30.51,0.89,27.82,12.73,7.72,20.36
Err_DromioOfSyracuse,29.71,1.4,30.35,13.15,5.5,19.91
Err_Duke,31.21,2.3,30.49,13.2,4.43,18.41
Err_Egeon,29.69,1.06,30.84,13.2,5.65,19.6
Err_Luce,34.35,0.0,31.32,13.14,8.09,13.14
Err_Luciana,28.78,1.55,31.16,15.44,6.67,16.43
Err_Merchant1,33.93,1.79,25.9,13.4,6.25,18.75
Err_Merchant2,28.72,1.66,34.3,11.58,4.96,18.81
Err_Messenger,26.97,1.5,34.46,14.61,5.25,17.23
Err_OFFICERS.Jailer,16.67,0.0,0.0,50.0,16.67,16.67
Err_OFFICERS.X,28.94,2.52,30.19,11.95,7.55,18.87
Err_Pinch,27.97,1.43,30.81,13.75,3.32,22.75
H5_AMBASSADORS.0.1,22.71,2.0,32.28,16.34,8.77,17.93
H5_ATTENDANTS.ENGLISH,0.0,0.0,0.0,0.0,0.0,100.0
H5_Alice,34.81,2.46,20.59,12.75,5.4,24.02
H5_Bardolph,30.03,1.39,28.64,16.4,7.63,15.94
H5_Bedford,30.67,0.67,35.34,16.0,3.34,14.01
H5_BishopOfCanterbury,28.17,2.29,31.13,14.97,4.79,18.69
H5_BishopOfEly,29.69,1.8,28.69,15.94,5.38,18.53
H5_Bourbon,32.66,1.37,24.49,15.65,3.41,22.45
H5_Boy,31.18,0.9,33.61,12.85,4.5,16.99
H5_Brittany,33.34,1.91,24.77,15.24,3.81,20.96
H5_Burgundy,29.21,2.14,28.84,15.45,5.49,18.89
H5_Cambridge,34.13,2.37,25.12,11.38,6.17,20.86
H5_Chorus,28.48,2.11,30.75,15.57,4.02,19.09
H5_Constable,30.0,1.33,31.28,16.36,5.59,15.47
H5_Dauphin,27.66,1.54,31.61,14.57,5.19,19.46
H5_Erpingham,22.92,3.13,25.0,25.0,5.21,18.75
H5_Exeter,28.5,1.69,31.97,14.58,4.35,18.93
H5_Fluellen,29.6,1.7,28.33,14.18,7.48,18.73
H5_Gloucester,20.46,4.55,29.55,15.91,9.1,20.46
H5_Governor,31.43,0.96,34.29,13.34,4.77,15.24
H5_Gower,31.0,2.44,28.87,13.32,6.31,18.09
H5_Grandpre,29.44,1.01,32.45,19.74,2.01,15.39
H5_Grey,28.82,3.39,33.34,14.13,4.52,15.82
H5_HERALDS.1,17.65,5.89,41.18,17.65,0.0,17.65
H5_HenryV,28.93,1.79,30.14,14.86,5.72,18.59
H5_Jamy,28.46,0.82,34.96,16.27,4.88,14.64
H5_Katherine,37.93,3.4,16.77,17.37,2.8,21.76
H5_KingOfFrance,29.73,1.09,30.14,15.28,5.14,18.65
H5_MESSENGERS.X.1,32.36,2.95,23.53,14.71,2.95,23.53
H5_MESSENGERS.X.2,27.91,0.0,30.24,20.94,4.66,16.28
H5_MESSENGERS.X.3,26.32,5.27,21.06,26.32,5.27,15.79
H5_MacMorris,31.63,0.64,30.68,10.23,4.16,22.69
H5_MistressQuickly,33.69,1.2,27.28,12.67,5.67,19.53
H5_Montjoy,29.89,1.73,31.25,14.89,4.31,17.96
H5_Nym,30.07,0.47,30.22,12.78,7.79,18.7
H5_Orleans,27.07,1.56,33.28,15.87,5.0,17.25
H5_Pistol,31.29,1.89,30.89,16.12,3.28,16.56
H5_QueenOfFrance,25.0,3.69,31.06,16.85,5.79,17.64
H5_Rambures,26.43,2.15,29.29,20.72,7.15,14.29
H5_SOLDIERS.ENGLISH.Bates,31.57,1.78,32.27,11.0,7.81,15.61
H5_SOLDIERS.ENGLISH.Court,29.63,7.41,22.23,11.12,7.41,22.23
H5_SOLDIERS.ENGLISH.Williams,28.77,2.5,28.87,13.97,7.04,18.88
H5_SOLDIERS.FRENCH.LeFer,27.68,6.25,23.22,16.08,7.15,19.65
H5_Salisbury,28.84,3.69,23.32,21.48,5.53,17.18
H5_Scroop,30.82,4.87,31.36,14.6,4.87,13.52
H5_Warwick,20.0,0.0,40.0,0.0,10.0,30.0
H5_Westmoreland,26.34,2.0,31.0,15.0,4.34,21.34
H5_York,27.28,0.0,22.73,18.19,0.0,31.82
H8_Abergavenny,30.29,0.97,37.5,13.95,1.93,15.39
H8_Anne,30.37,1.36,25.84,14.96,6.5,21.0
H8_BishopOfLincoln,31.38,3.93,25.5,12.75,7.85,18.63
H8_Brandon,32.38,2.16,28.06,15.83,6.48,15.11
H8_Buckingham,28.35,1.55,30.42,15.21,4.67,19.84
H8_Butts,27.2,1.76,36.85,16.67,2.64,14.92
H8_Campeius,28.21,1.8,29.49,15.26,8.08,17.18
H8_Capuchius,26.28,0.73,29.2,13.87,8.03,21.9
H8_Chamberlain,27.66,1.49,31.75,16.39,6.69,16.06
H8_Chancellor,27.19,2.19,26.7,18.45,6.07,19.42
H8_Cranmer,28.11,1.72,31.21,15.24,3.99,19.76
H8_Crier,38.99,0.0,15.26,11.87,3.39,30.51
H8_Cromwell,27.21,1.12,32.64,14.56,6.4,18.08
H8_Denny,35.0,2.5,22.5,20.0,5.0,15.0
H8_Epilogue,29.63,0.93,30.56,17.6,6.95,14.36
H8_GENTLEMEN.1,30.36,1.72,32.0,13.82,4.94,17.18
H8_GENTLEMEN.2,29.96,1.1,34.71,13.61,4.48,16.17
H8_GENTLEMEN.3,28.37,2.47,28.86,15.66,6.54,18.13
H8_GENTLEMEN.X,28.21,0.0,25.65,20.52,7.7,17.95
H8_Gardiner,29.59,2.13,29.9,14.56,5.91,17.94
H8_Garter,27.78,0.0,35.19,14.82,0.0,22.23
H8_Griffith,28.95,1.38,31.93,13.39,5.84,18.54
H8_Guilford,33.34,0.69,25.86,17.01,6.81,16.33
H8_HenryVIII,30.32,1.65,28.53,14.19,6.68,18.67
H8_Katherine,28.31,1.9,27.84,15.3,6.61,20.07
H8_Keeper,31.71,1.22,18.3,21.96,10.98,15.86
H8_LADIES.KATHERINE.0.1,24.85,0.64,37.58,15.93,3.19,17.84
H8_LADIES.KATHERINE.Patience,25.81,1.62,35.49,12.91,1.62,22.59
H8_Lovell,31.38,1.67,28.72,14.75,5.22,18.3
H8_Messenger,26.0,2.0,22.0,18.0,6.0,26.0
H8_Norfolk,29.21,1.59,31.44,14.22,5.58,18.0
H8_OldLady,30.68,1.89,27.36,15.73,7.76,16.62
H8_Page,42.86,0.0,42.86,14.29,0.0,0.0
H8_Porter,30.62,1.0,27.64,17.3,7.16,16.31
H8_Prologue,27.02,1.65,30.11,15.26,5.98,20.0
H8_SECRETARIES.0.1,20.0,0.0,33.34,33.34,13.34,0.0
H8_SERVANTS.LARDER.1,48.0,0.0,12.0,24.0,4.0,12.0
H8_SERVANTS.PORTER.1,29.37,1.68,29.7,13.26,6.05,19.97
H8_SERVANTS.X.1,26.23,3.28,32.79,19.68,0.0,18.04
H8_Sands,27.58,1.33,28.08,16.95,5.99,20.1
H8_Scribe,36.59,0.0,19.52,12.2,2.44,29.27
H8_Sergeant,27.78,0.0,33.34,11.12,0.0,27.78
H8_Suffolk,29.46,1.97,30.28,15.1,4.85,18.38
H8_Surrey,29.75,1.24,30.32,16.69,6.01,16.02
H8_Surveyor,30.23,2.81,33.14,11.09,4.56,18.21
H8_Usher,50.0,0.0,0.0,20.0,10.0,20.0
H8_Vaux,30.62,6.13,36.74,12.25,2.05,12.25
H8_Wolsey,28.22,1.55,29.52,15.07,5.86,19.81
Ham_AMBASSADORS,27.72,0.0,34.94,16.87,2.41,18.08
Ham_ATTENDANTS,21.43,7.15,14.29,21.43,0.0,35.72
Ham_ATTENDANTS.0.1,14.29,3.58,35.72,17.86,3.58,25.0
Ham_ATTENDANTS.1,31.07,3.4,35.93,8.26,5.34,16.02
Ham_ATTENDANTS.2,32.58,1.52,21.22,13.64,9.1,21.97
Ham_ATTENDANTS.GUARDS,27.28,0.0,18.19,36.37,0.0,18.19
Ham_Barnardo,30.39,0.69,30.62,14.52,7.71,16.1
Ham_Claudius,30.02,1.67,30.88,13.76,5.99,17.72
Ham_Cornelius,26.67,0.0,26.67,13.34,13.34,20.0
Ham_Doctor,30.73,2.8,29.06,17.88,3.36,16.21
Ham_FOLLOWERS.LAERTES,15.39,0.0,7.7,23.08,30.77,23.08
Ham_Fortinbras,28.73,3.2,34.85,14.1,3.46,15.7
Ham_Francisco,30.62,1.03,29.6,13.27,5.11,20.41
Ham_Gertrude,29.98,1.4,29.88,15.39,5.8,17.59
Ham_Ghost,31.79,1.95,30.74,13.35,4.05,18.15
Ham_Gravedigger,29.42,1.44,31.96,14.07,6.28,16.86
Ham_GravediggersCompanion,29.04,2.16,29.04,16.13,3.77,19.9
Ham_Guildenstern,29.52,1.1,26.69,16.8,5.81,20.1
Ham_Hamlet,29.69,1.48,30.74,13.53,5.95,18.64
Ham_Horatio,31.15,1.35,28.84,15.18,5.7,17.8
Ham_Laertes,28.36,1.76,30.48,14.64,5.13,19.65
Ham_MESSENGERS.1,32.87,0.7,30.07,13.99,6.3,16.09
Ham_MESSENGERS.2,23.95,1.41,35.22,16.91,4.23,18.31
Ham_Marcellus,30.59,1.53,28.95,15.53,5.18,18.24
Ham_Ophelia,30.0,0.94,29.02,15.03,6.37,18.68
Ham_Osric,28.79,1.77,30.25,15.57,5.73,17.92
Ham_PLAYERS.0.1,17.4,0.0,34.79,17.4,17.4,13.05
Ham_PLAYERS.1,28.58,1.69,31.94,15.13,3.93,18.77
Ham_PLAYERS.King,29.58,1.79,31.78,15.14,5.23,16.51
Ham_PLAYERS.Lucianus,36.94,3.61,24.33,14.42,2.71,18.02
Ham_PLAYERS.Prologue,28.95,2.64,21.06,23.69,7.9,15.79
Ham_PLAYERS.Queen,30.79,1.57,28.24,14.51,4.51,20.4
Ham_Polonius,29.8,1.4,29.7,14.53,6.18,18.42
Ham_Reynaldo,31.46,0.81,13.71,27.42,4.84,21.78
Ham_Rosencrantz,29.71,1.51,27.54,15.23,7.06,18.98
Ham_SAILORS.0.1,26.67,0.0,33.34,16.67,6.67,16.67
Ham_SOLDIERS.FORTINBRAS.Captain,35.18,0.69,20.69,19.32,8.28,15.87
Ham_Voltemand,27.99,2.05,32.66,14.29,5.25,17.79
JC_Antony,28.81,1.29,32.08,14.03,5.97,17.86
JC_Artemidorus,30.04,1.1,34.8,15.02,3.67,15.39
JC_Brutus,29.55,1.39,30.76,14.25,5.74,18.33
JC_COMMONERS.Carpenter,42.86,0.0,14.29,14.29,14.29,14.29
JC_COMMONERS.Cobbler,30.81,2.11,27.43,12.24,8.87,18.57
JC_Caesar,29.24,1.2,31.0,14.36,5.44,18.79
JC_Calphurnia,28.16,0.49,32.53,13.84,6.56,18.45
JC_Casca,30.77,1.1,31.97,12.36,5.76,18.07
JC_Cassius,29.65,1.26,30.75,13.98,6.42,17.97
JC_Cicero,27.51,0.0,32.5,11.67,7.5,20.84
JC_Cinna,31.76,0.86,30.05,15.03,7.3,15.03
JC_CinnaPoet,28.5,2.24,24.03,16.76,6.71,21.79
JC_Decius,28.73,1.26,32.19,14.92,5.66,17.27
JC_Flavius,30.79,1.28,28.76,15.27,7.89,16.04
JC_Lepidus,26.67,0.0,28.89,13.34,6.67,24.45
JC_Ligarius,34.15,0.49,27.81,13.66,4.88,19.03
JC_Lucius,29.47,0.57,25.78,18.14,5.39,20.68
JC_Marullus,32.26,0.87,26.84,13.64,8.88,17.54
JC_Messenger,31.38,1.97,21.57,15.69,1.97,27.46
JC_Metellus,26.73,1.62,35.63,14.18,4.05,17.82
JC_Octavius,33.86,0.79,27.59,14.9,6.59,16.31
JC_PLEBEIANS,27.63,0.56,28.18,20.45,8.84,14.37
JC_PLEBEIANS.0.1,27.7,0.47,32.16,16.91,6.81,15.97
JC_PLEBEIANS.0.2,25.06,1.12,31.32,19.24,8.06,15.22
JC_PLEBEIANS.0.3,27.23,0.73,29.64,18.8,6.99,16.63
JC_PLEBEIANS.0.4,28.87,0.46,28.87,18.19,6.82,16.82
JC_Pindarus,24.02,0.99,31.38,19.12,3.44,21.08
JC_Poet,22.45,4.09,28.58,14.29,6.13,24.49
JC_Popilius,20.0,0.0,25.0,25.0,20.0,10.0
JC_Portia,31.46,1.18,27.28,12.32,8.22,19.58
JC_Publius,36.37,0.0,36.37,18.19,0.0,9.1
JC_SERVANTS.ANTONY.1,28.69,0.8,33.07,15.94,2.79,18.73
JC_SERVANTS.CAESAR.1,29.51,0.0,29.51,18.04,6.56,16.4
JC_SERVANTS.OCTAVIUS.1,29.73,0.0,33.34,14.42,2.71,19.82
JC_SOLDIERS.ANTONY.0.1,25.54,2.13,25.54,25.54,4.26,17.03
JC_SOLDIERS.ANTONY.0.2,30.77,0.0,23.08,23.08,0.0,23.08
JC_SOLDIERS.BRUTUS.0.1,50.0,0.0,25.0,0.0,0.0,25.0
JC_SOLDIERS.BRUTUS.0.2,50.0,0.0,25.0,0.0,0.0,25.0
JC_SOLDIERS.BRUTUS.0.3,50.0,0.0,25.0,0.0,0.0,25.0
JC_SOLDIERS.BRUTUS.Cato,32.99,0.0,27.84,14.44,4.13,20.62
JC_SOLDIERS.BRUTUS.Claudius,33.34,0.0,3.71,37.04,3.71,22.23
JC_SOLDIERS.BRUTUS.Clitus,25.65,0.0,29.92,27.36,3.42,13.68
JC_SOLDIERS.BRUTUS.Dardanus,40.0,6.67,26.67,20.0,0.0,6.67
JC_SOLDIERS.BRUTUS.Lucilius,30.86,1.07,29.79,15.16,4.53,18.62
JC_SOLDIERS.BRUTUS.Messala,31.42,1.6,32.01,15.11,2.79,17.1
JC_SOLDIERS.BRUTUS.Strato,25.0,0.97,29.81,17.31,5.77,21.16
JC_SOLDIERS.BRUTUS.Titinius,32.13,0.73,32.37,15.46,4.11,15.22
JC_SOLDIERS.BRUTUS.Varro,27.59,1.73,13.8,27.59,10.35,18.97
JC_SOLDIERS.BRUTUS.Volumnius,24.25,0.0,27.28,24.25,3.04,21.22
JC_Soothsayer,32.16,2.21,31.28,14.1,2.65,17.63
JC_Trebonius,26.73,0.87,31.9,18.11,6.04,16.38
Jn_Arthur,30.61,0.96,26.74,13.18,8.47,20.07
Jn_Austria,27.93,1.85,32.24,16.23,5.14,16.64
Jn_Bastard,30.29,1.39,30.7,14.54,4.92,18.19
Jn_Bigot,30.0,0.91,25.46,18.19,6.37,19.1
Jn_Blanche,26.14,2.02,32.67,13.57,6.04,19.6
Jn_CITIZENS.0.1,30.19,2.11,31.05,13.76,5.83,17.1
Jn_Chatillion,25.65,2.13,35.97,15.94,2.58,17.76
Jn_Constance,30.32,2.15,30.45,14.49,4.3,18.31
Jn_Dauphin,30.66,1.71,29.85,14.95,4.83,18.02
Jn_EXECUTIONERS.0.1,42.43,3.04,18.19,18.19,9.1,9.1
Jn_Essex,30.0,8.0,28.01,16.0,2.0,16.0
Jn_Gurney,55.56,0.0,22.23,22.23,0.0,0.0
Jn_HERALDS.ENGLISH,28.85,2.89,29.81,16.83,4.33,17.31
Jn_HERALDS.FRENCH,31.38,0.99,25.5,16.18,3.93,22.06
Jn_Hubert,29.22,1.5,28.55,14.59,6.81,19.38
Jn_KingJohn,30.24,1.25,30.56,14.31,5.16,18.52
Jn_KingPhilip,29.75,2.17,30.45,16.23,4.77,16.66
Jn_LadyFaulconbridge,26.64,2.63,34.07,12.23,3.94,20.53
Jn_MESSENGERS.ENGLISH.1,30.84,2.1,28.15,17.67,5.09,16.17
Jn_MESSENGERS.FRENCH.1,27.18,1.09,30.44,15.22,8.7,17.4
Jn_Melun,26.36,0.99,32.74,14.73,6.39,18.83
Jn_Pandulph,29.74,2.58,30.57,14.61,4.32,18.22
Jn_Pembroke,30.87,2.28,32.91,13.57,5.85,14.55
Jn_Peter,25.0,0.0,41.67,25.0,8.34,0.0
