filename,voiced,voiceless
1H4_Archbishop,0.6431372549020.356862745098
Err_Messenger,0.6142322097380.385767790262
Err_OFFICERS.Jailer,1.00.0
Err_OFFICERS.X,0.6792452830190.320754716981
Err_Pinch,0.6729857819910.327014218009
H5_AMBASSADORS.0.1,0.6892430278880.310756972112
H5_ATTENDANTS.ENGLISH,1.00.0
H5_Alice,0.681372549020.31862745098
H5_Bardolph,0.6143187066970.385681293303
H5_Bedford,0.70.3
H5_BishopOfCanterbury,0.6608976239370.339102376063
H5_BishopOfEly,0.6772908366530.322709163347
H5_Bourbon,0.6598639455780.340136054422
H5_Boy,0.63162623540.3683737646
H5_Brittany,0.6952380952380.304761904762
H5_Burgundy,0.6623255813950.337674418605
H5_Cambridge,0.6635071090050.336492890995
H5_Chorus,0.6476454293630.352354570637
H5_Constable,0.6303867403310.369613259669
H5_Dauphin,0.6568396226420.343160377358
H5_Erpingham,0.7083333333330.291666666667
H5_Exeter,0.6537084398980.346291560102
H5_Fluellen,0.6819196428570.318080357143
H5_Gloucester,0.750.25
H5_Governor,0.6190476190480.380952380952
H5_Gower,0.6412601626020.358739837398
H5_Grandpre,0.6555183946490.344481605351
H5_Grey,0.6327683615820.367231638418
H5_HERALDS.1,0.7058823529410.294117647059
H5_HenryV,0.6640318665590.335968133441
H5_Jamy,0.6422764227640.357723577236
H5_Katherine,0.6467065868260.353293413174
H5_KingOfFrance,0.6608108108110.339189189189
H5_MESSENGERS.X.1,0.7058823529410.294117647059
H5_MESSENGERS.X.2,0.6744186046510.325581395349
H5_MESSENGERS.X.3,0.7368421052630.263157894737
H5_MacMorris,0.6581469648560.341853035144
H5_MistressQuickly,0.6631892697470.336810730253
H5_Montjoy,0.6531365313650.346863468635
H5_Nym,0.6604361370720.339563862928
H5_Orleans,0.6568965517240.343103448276
H5_Pistol,0.6470004957860.352999504214
H5_QueenOfFrance,0.7157894736840.284210526316
H5_Rambures,0.7142857142860.285714285714
H5_SOLDIERS.ENGLISH.Bates,0.6099290780140.390070921986
H5_SOLDIERS.ENGLISH.Court,0.7407407407410.259259259259
H5_SOLDIERS.ENGLISH.Williams,0.6530989824240.346901017576
H5_SOLDIERS.FRENCH.LeFer,0.6785714285710.321428571429
H5_Salisbury,0.7361963190180.263803680982
H5_Scroop,0.5837837837840.416216216216
H5_Warwick,0.50.5
H5_Westmoreland,0.7033333333330.296666666667
H5_York,0.8636363636360.136363636364
H8_Abergavenny,0.6105769230770.389423076923
H8_Anne,0.6752265861030.324773413897
H8_BishopOfLincoln,0.6078431372550.392156862745
H8_Brandon,0.6043165467630.395683453237
H8_Buckingham,0.6548703573930.345129642607
H8_Butts,0.6052631578950.394736842105
H8_Campeius,0.6576923076920.342307692308
H8_Capuchius,0.6861313868610.313868613139
H8_Chamberlain,0.6505800464040.349419953596
H8_Chancellor,0.6674757281550.332524271845
H8_Cranmer,0.6466830466830.353316953317
H8_Crier,0.6610169491530.338983050847
H8_Cromwell,0.66720.3328
H8_Denny,0.750.25
H8_Epilogue,0.620370370370.37962962963
H8_GENTLEMEN.1,0.6213314244810.378668575519
H8_GENTLEMEN.2,0.6228310502280.377168949772
H8_GENTLEMEN.3,0.6658446362520.334155363748
H8_GENTLEMEN.X,0.743589743590.25641025641
H8_Gardiner,0.6388670338320.361132966168
H8_Garter,0.6481481481480.351851851852
H8_Griffith,0.6361556064070.363844393593
H8_Guilford,0.653061224490.34693877551
H8_HenryVIII,0.6491335684710.350866431529
H8_Katherine,0.6590466064150.340953393585
H8_Keeper,0.6829268292680.317073170732
H8_LADIES.KATHERINE.0.1,0.6624203821660.337579617834
H8_LADIES.KATHERINE.Patience,0.5967741935480.403225806452
H8_Lovell,0.6518847006650.348115299335
H8_Messenger,0.680.32
H8_Norfolk,0.6360567184330.363943281567
H8_OldLady,0.6434108527130.356589147287
H8_Page,0.1428571428570.857142857143
H8_Porter,0.7017892644140.298210735586
H8_Prologue,0.6721649484540.327835051546
H8_SECRETARIES.0.1,0.6666666666670.333333333333
H8_SERVANTS.LARDER.1,0.60.4
H8_SERVANTS.PORTER.1,0.6375838926170.362416107383
H8_SERVANTS.X.1,0.721311475410.27868852459
H8_Sands,0.6827242524920.317275747508
H8_Scribe,0.6341463414630.365853658537
H8_Sergeant,0.6666666666670.333333333333
H8_Suffolk,0.6456111566860.354388843314
H8_Surrey,0.6501429933270.349857006673
H8_Surveyor,0.6207701283550.379229871645
H8_Usher,0.80.2
H8_Vaux,0.5918367346940.408163265306
H8_Wolsey,0.6587739215050.341226078495
Ham_AMBASSADORS,0.662650602410.33734939759
Ham_ATTENDANTS,0.7857142857140.214285714286
Ham_ATTENDANTS.0.1,0.7142857142860.285714285714
Ham_ATTENDANTS.1,0.5679611650490.432038834951
Ham_ATTENDANTS.2,0.6742424242420.325757575758
Ham_ATTENDANTS.GUARDS,0.6363636363640.363636363636
Ham_Barnardo,0.6077097505670.392290249433
Ham_Claudius,0.6323750.367625
Ham_Cornelius,0.7333333333330.266666666667
Ham_Doctor,0.6927374301680.307262569832
Ham_FOLLOWERS.LAERTES,0.7692307692310.230769230769
Ham_Fortinbras,0.5851063829790.414893617021
Ham_Francisco,0.5714285714290.428571428571
Ham_Gertrude,0.6423576423580.357642357642
Ham_Ghost,0.6206896551720.379310344828
Ham_Gravedigger,0.6295707472180.370429252782
Ham_GravediggersCompanion,0.6290322580650.370967741935
Ham_Guildenstern,0.6797488226060.320251177394
Ham_Hamlet,0.643107067880.35689293212
Ham_Horatio,0.6534452072210.346554792779
Ham_Laertes,0.6527625320160.347237467984
Ham_MESSENGERS.1,0.6293706293710.370629370629
Ham_MESSENGERS.2,0.7183098591550.281690140845
Ham_Marcellus,0.6305882352940.369411764706
Ham_Ophelia,0.6934955545160.306504445484
Ham_Osric,0.6417033773860.358296622614
Ham_PLAYERS.0.1,0.6521739130430.347826086957
Ham_PLAYERS.1,0.6568627450980.343137254902
Ham_PLAYERS.King,0.6685006877580.331499312242
Ham_PLAYERS.Lucianus,0.5855855855860.414414414414
Ham_PLAYERS.Prologue,0.6052631578950.394736842105
Ham_PLAYERS.Queen,0.6431372549020.356862745098
Ham_Polonius,0.6578575751460.342142424854
Ham_Reynaldo,0.8467741935480.153225806452
Ham_Rosencrantz,0.6796699174790.320330082521
Ham_SAILORS.0.1,0.650.35
Ham_SOLDIERS.FORTINBRAS.Captain,0.6758620689660.324137931034
Ham_Voltemand,0.635568513120.36443148688
JC_Antony,0.6588642377370.341135762263
JC_Artemidorus,0.6263736263740.373626373626
JC_Brutus,0.6472786024440.352721397556
JC_COMMONERS.Carpenter,0.4285714285710.571428571429
JC_COMMONERS.Cobbler,0.6624472573840.337552742616
JC_Caesar,0.6385312350980.361468764902
JC_Calphurnia,0.6650485436890.334951456311
JC_Casca,0.6218362282880.378163771712
JC_Cassius,0.6562766865930.343723313407
JC_Cicero,0.6416666666670.358333333333
JC_Cinna,0.6523605150210.347639484979
JC_CinnaPoet,0.7094972067040.290502793296
JC_Decius,0.6436420722140.356357927786
JC_Flavius,0.6819338422390.318066157761
JC_Lepidus,0.5777777777780.422222222222
JC_Ligarius,0.6341463414630.365853658537
JC_Lucius,0.6968838526910.303116147309
JC_Marullus,0.6385281385280.361471861472
JC_Messenger,0.7450980392160.254901960784
JC_Metellus,0.6518218623480.348178137652
JC_Octavius,0.6332288401250.366771159875
JC_PLEBEIANS,0.6243093922650.375690607735
JC_PLEBEIANS.0.1,0.6197183098590.380281690141
JC_PLEBEIANS.0.2,0.6510067114090.348993288591
JC_PLEBEIANS.0.3,0.6337349397590.366265060241
JC_PLEBEIANS.0.4,0.6431818181820.356818181818
JC_Pindarus,0.6323529411760.367647058824
JC_Poet,0.7346938775510.265306122449
JC_Popilius,0.70.3
JC_Portia,0.6348973607040.365102639296
JC_Publius,0.7272727272730.272727272727
JC_SERVANTS.ANTONY.1,0.6733067729080.326693227092
JC_SERVANTS.CAESAR.1,0.6557377049180.344262295082
JC_SERVANTS.OCTAVIUS.1,0.6846846846850.315315315315
JC_SOLDIERS.ANTONY.0.1,0.7659574468090.234042553191
JC_SOLDIERS.ANTONY.0.2,0.6153846153850.384615384615
JC_SOLDIERS.BRUTUS.0.1,0.50.5
JC_SOLDIERS.BRUTUS.0.2,0.50.5
JC_SOLDIERS.BRUTUS.0.3,0.50.5
JC_SOLDIERS.BRUTUS.Cato,0.6185567010310.381443298969
JC_SOLDIERS.BRUTUS.Claudius,0.9259259259260.0740740740741
JC_SOLDIERS.BRUTUS.Clitus,0.7008547008550.299145299145
JC_SOLDIERS.BRUTUS.Dardanus,0.4666666666670.533333333333
JC_SOLDIERS.BRUTUS.Lucilius,0.6542553191490.345744680851
JC_SOLDIERS.BRUTUS.Messala,0.6361829025840.363817097416
JC_SOLDIERS.BRUTUS.Strato,0.6730769230770.326923076923
JC_SOLDIERS.BRUTUS.Titinius,0.6884057971010.311594202899
JC_SOLDIERS.BRUTUS.Varro,0.8103448275860.189655172414
JC_SOLDIERS.BRUTUS.Volumnius,0.6666666666670.333333333333
JC_Soothsayer,0.6167400881060.383259911894
JC_Trebonius,0.6637931034480.336206896552
Jn_Arthur,0.6732062780270.326793721973
Jn_Austria,0.6303901437370.369609856263
Jn_Bastard,0.6513513513510.348648648649
Jn_Bigot,0.7272727272730.272727272727
Jn_Blanche,0.6683417085430.331658291457
Jn_CITIZENS.0.1,0.6284622731610.371537726839
Jn_Chatillion,0.6388467374810.361153262519
Jn_Constance,0.6588411588410.341158841159
Jn_Dauphin,0.6494449188730.350555081127
Jn_EXECUTIONERS.0.1,0.6666666666670.333333333333
Jn_Essex,0.640.36
Jn_Gurney,0.7777777777780.222222222222
Jn_HERALDS.ENGLISH,0.6778846153850.322115384615
Jn_HERALDS.FRENCH,0.715686274510.28431372549
Jn_Hubert,0.6517259144770.348274085523
Jn_KingJohn,0.6556973704440.344302629556
Jn_KingPhilip,0.6595602931380.340439706862
Jn_LadyFaulconbridge,0.6637554585150.336244541485
Jn_MESSENGERS.ENGLISH.1,0.7065868263470.293413173653
Jn_MESSENGERS.FRENCH.1,0.6630434782610.336956521739
Jn_Melun,0.6726677577740.327332242226
Jn_Pandulph,0.6254948535230.374505146477
Jn_Pembroke,0.6222583265640.377741673436
Jn_Peter,0.50.5
Jn_PrinceHenry,0.6268980477220.373101952278
Jn_QueenEleanor,0.6707021791770.329297820823
Jn_RobertFaulconbridge,0.6526610644260.347338935574
Jn_Salisbury,0.6441770519980.355822948002
LLL_Armado,0.6402344955260.359765504474
LLL_Berowne,0.6462418300650.353758169935
LLL_Boy,0.6484942886810.351505711319
LLL_Boyet,0.6474109548040.352589045196
LLL_Costard,0.6392233009710.360776699029
LLL_Dull,0.640.36
LLL_Dumaine,0.6613386613390.338661338661
LLL_Forester,0.6219512195120.378048780488
LLL_Holofernes,0.6319561551430.368043844857
LLL_Jaquenetta,0.6914285714290.308571428571
LLL_Katherine,0.6480686695280.351931330472
LLL_King,0.6475247524750.352475247525
LLL_LORDS.0,0.8181818181820.181818181818
LLL_Longaville,0.6406743940990.359325605901
LLL_Marcade,0.7826086956520.217391304348
LLL_Maria,0.6413662239090.358633776091
LLL_Nathaniel,0.6461071789690.353892821031
LLL_Princess,0.6484526112190.351547388781
LLL_Rosaline,0.6530529720990.346947027901
LLL_Spring,0.6666666666670.333333333333
LLL_Winter,0.7523809523810.247619047619
Lr_ATTENDANTS.ALBANY,0.5079365079370.492063492063
Lr_ATTENDANTS.CORDELIA.1,0.6339869281050.366013071895
Lr_ATTENDANTS.LEAR.0.3,0.6730769230770.326923076923
Lr_ATTENDANTS.X.1,1.00.0
Lr_ATTENDANTS.X.2,0.7111111111110.288888888889
Lr_ATTENDANTS.X.3,0.7004219409280.299578059072
Lr_ATTENDANTS.X.4,0.56709956710.4329004329
Lr_Albany,0.6451443569550.354855643045
Lr_Burgundy,0.6304347826090.369565217391
Lr_Cordelia,0.6519480519480.348051948052
Lr_Cornwall,0.610489510490.38951048951
Lr_Curan,0.7464788732390.253521126761
Lr_Doctor,0.6344537815130.365546218487
Lr_Edgar,0.6372017353580.362798264642
Lr_Edmund,0.6385911179170.361408882083
Lr_Fool,0.6635198921110.336480107889
Lr_France,0.6198347107440.380165289256
Lr_Gloucester,0.646500843170.35349915683
Lr_Goneril,0.6302608695650.369739130435
Lr_Herald,0.7063492063490.293650793651
Lr_Kent,0.6503067484660.349693251534
Lr_Lear,0.641920536330.35807946367
Lr_MESSENGERS.X.1,0.620155038760.37984496124
Lr_MESSENGERS.X.2,0.7647058823530.235294117647
Lr_MESSENGERS.X.3,1.00.0
Lr_OldMan,0.7422680412370.257731958763
Lr_Oswald,0.6536430834210.346356916579
Lr_Regan,0.621004566210.37899543379
Lr_SERVANTS.0.1,0.6929133858270.307086614173
Lr_SERVANTS.0.2,0.6716417910450.328358208955
Lr_SERVANTS.0.3,0.6447368421050.355263157895
Lr_SOLDIERS.CAPTAINS.1,0.68750.3125
Lr_SOLDIERS.CAPTAINS.2,0.50.5
MM_Abhorson,0.5506072874490.449392712551
MM_Angelo,0.6317174819040.368282518096
MM_Barnardine,0.6476683937820.352331606218
MM_Bawd,0.6736111111110.326388888889
MM_Boy,0.7176470588240.282352941176
MM_Claudio,0.6276094276090.372390572391
MM_Duke,0.6316162013370.368383798663
MM_Elbow,0.6235294117650.376470588235
MM_Escalus,0.6294626080420.370537391958
MM_FriarPeter,0.6144144144140.385585585586
MM_FriarThomas,0.7361111111110.263888888889
MM_Froth,0.7093023255810.290697674419
MM_GENTLEMEN.1,0.6402439024390.359756097561
MM_GENTLEMEN.2,0.5566037735850.443396226415
MM_Isabella,0.6339708720830.366029127917
MM_Juliet,0.6754385964910.324561403509
MM_Justice,0.7727272727270.227272727273
MM_Lucio,0.652804182510.34719581749
MM_Mariana,0.7068004459310.293199554069
MM_Messenger,0.5925925925930.407407407407
MM_Nun,0.6356589147290.364341085271
MM_Pompey,0.6397058823530.360294117647
MM_Provost,0.6443838108230.355616189177
MM_SERVANTS.1,0.593750.40625
MND_Bottom,0.6472095671980.352790432802
MND_Demetrius,0.6528610354220.347138964578
MND_Egeus,0.6559714795010.344028520499
MND_FAIRIES.TITANIA,0.8113207547170.188679245283
MND_FAIRIES.TITANIA.0.1,0.7277227722770.272277227723
MND_FAIRIES.TITANIA.0.2,0.78906250.2109375
MND_FAIRIES.TITANIA.1,0.6725146198830.327485380117
MND_FAIRIES.TITANIA.Cobweb,0.81250.1875
MND_FAIRIES.TITANIA.Mote,0.80.2
MND_FAIRIES.TITANIA.Mustardseed,0.7894736842110.210526315789
MND_FAIRIES.TITANIA.Peaseblossom,0.81250.1875
MND_Flute,0.6264274061990.373572593801
MND_Helena,0.6603830041890.339616995811
MND_Hermia,0.6450788240310.354921175969
MND_Hippolyta,0.6818181818180.318181818182
MND_Lysander,0.6527833400080.347216659992
MND_Oberon,0.6488448844880.351155115512
MND_Philostrate,0.6620111731840.337988826816
MND_Quince,0.6535612535610.346438746439
MND_RobinGoodfellow,0.6666666666670.333333333333
MND_Snout,0.6584507042250.341549295775
MND_Snug,0.6734693877550.326530612245
MND_Starveling,0.6620689655170.337931034483
MND_Theseus,0.6656951326140.334304867386
MND_Titania,0.6718281718280.328171828172
MV_ATTENDANTS.BASSANIO.Leonardo,0.6666666666670.333333333333
MV_ATTENDANTS.PORTIA.Balthazar,0.7647058823530.235294117647
MV_ATTENDANTS.PORTIA.Stephano,0.6732673267330.326732673267
MV_Antonio,0.6434166355840.356583364416
MV_Arragon,0.6538882803940.346111719606
MV_Bassanio,0.6597682119210.340231788079
MV_Duke,0.6159486709440.384051329056
MV_Gratiano,0.6708964388050.329103561195
MV_Jessica,0.6591853699090.340814630091
MV_LanceletGobbo,0.6661585365850.333841463415
MV_Lorenzo,0.6490250696380.350974930362
MV_MUSICIANS,0.7888888888890.211111111111
MV_Messenger,0.642384105960.35761589404
MV_Morocco,0.6664447403460.333555259654
MV_Nerissa,0.6735632183910.326436781609
MV_OldGobbo,0.6666666666670.333333333333
MV_Portia,0.6524582506130.347541749387
MV_SERVANTS.1,0.6301369863010.369863013699
MV_SERVANTS.2,0.6060606060610.393939393939
MV_Salarino,0.64536243180.3546375682
MV_Salerio,0.643678160920.35632183908
MV_Shylock,0.655265180630.34473481937
MV_Solanio,0.6443768996960.355623100304
MV_Tubal,0.6214689265540.378531073446
Mac_ATTENDANTS,0.6410256410260.358974358974
Mac_Angus,0.6736842105260.326315789474
Mac_Banquo,0.6366139022710.363386097729
Mac_Caithness,0.6515151515150.348484848485
Mac_Doctor1,0.5897435897440.410256410256
Mac_Doctor2,0.6174957118350.382504288165
Mac_Donalbain,0.6637168141590.336283185841
Mac_Duncan,0.6248682824030.375131717597
Mac_Fleance,0.5652173913040.434782608696
Mac_Gentlewoman,0.5539358600580.446064139942
Mac_Hecate,0.6872509960160.312749003984
Mac_LadyMacbeth,0.647856154910.35214384509
Mac_LadyMacduff,0.6793168880460.320683111954
Mac_Lennox,0.6429961089490.357003891051
Mac_Lord,0.6281250.371875
Mac_MESSENGERS.1,0.6133333333330.386666666667
Mac_MESSENGERS.2,0.6666666666670.333333333333
Mac_MESSENGERS.3,0.670.33
Mac_MURDERERS.0.1,0.7037037037040.296296296296
Mac_MURDERERS.1,0.6759581881530.324041811847
Mac_MURDERERS.2,0.617801047120.38219895288
Mac_MURDERERS.3,0.597560975610.40243902439
Mac_Macbeth,0.6495769540690.350423045931
Mac_Macduff,0.6453774006250.354622599375
Mac_MacduffsSon,0.7149122807020.285087719298
Mac_Malcolm,0.6426240208880.357375979112
Mac_Menteith,0.7229729729730.277027027027
Mac_OldMan,0.7086092715230.291390728477
Mac_Porter,0.5747330960850.425266903915
Mac_Ross,0.6592270005440.340772999456
Mac_SERVANTS.X.2,0.6666666666670.333333333333
Mac_SERVANTS.X.3,0.7894736842110.210526315789
Mac_SERVANTS.X.4,0.6666666666670.333333333333
Mac_SOLDIERS.Captain,0.6201117318440.379888268156
Mac_SOLDIERS.MALCOLM,0.5454545454550.454545454545
Mac_SOLDIERS.MALCOLM.0.1,0.5882352941180.411764705882
Mac_SPIRITS.1,0.60.4
Mac_SPIRITS.2,0.7017543859650.298245614035
Mac_SPIRITS.3,0.5409836065570.459016393443
Mac_Seyton,0.7611940298510.238805970149
Mac_Siward,0.6250.375
Mac_WITCHES.1,0.6329113924050.367088607595
Mac_WITCHES.2,0.685466377440.31453362256
Mac_WITCHES.3,0.6710526315790.328947368421
Mac_YoungSiward,0.6956521739130.304347826087
Oth_Bianca,0.626566416040.37343358396
Oth_Brabantio,0.624346917450.37565308255
Oth_Cassio,0.6326856534470.367314346553
Oth_Clown,0.6707920792080.329207920792
Oth_Desdemona,0.6596923076920.340307692308
Oth_Duke,0.6099071207430.390092879257
Oth_Emilia,0.6375717305950.362428269405
Oth_GENTLEMEN,0.5714285714290.428571428571
Oth_GENTLEMEN.0.1,0.6428571428570.357142857143
Oth_GENTLEMEN.1,0.6666666666670.333333333333
Oth_GENTLEMEN.2,0.6553672316380.344632768362
Oth_GENTLEMEN.3,0.5506607929520.449339207048
Oth_Gratiano,0.6127946127950.387205387205
Oth_Herald,0.6548672566370.345132743363
Oth_Iago,0.6361541415950.363845858405
Oth_Lodovico,0.6266266266270.373373373373
Oth_MESSENGERS.X.1,0.6928571428570.307142857143
Oth_MESSENGERS.X.2,0.6129032258060.387096774194
Oth_MUSICIANS.0.1,0.6060606060610.393939393939
Oth_Montano,0.6183006535950.381699346405
Oth_OFFICERS,0.6216216216220.378378378378
Oth_OFFICERS.0.1,0.6909090909090.309090909091
Oth_Othello,0.6293949127530.370605087247
Oth_Roderigo,0.6476377952760.352362204724
Oth_SENATORS,0.750.25
Oth_SENATORS.0.1,0.6195652173910.380434782609
Oth_SENATORS.0.2,0.6046511627910.395348837209
Oth_Sailor,0.50.5
Per_Antiochus,0.6162551440330.383744855967
Per_Bawd,0.6465116279070.353488372093
Per_Bolt,0.6113861386140.388613861386
Per_CITIZENS.TARSUS,0.6956521739130.304347826087
Per_Cerimon,0.616702355460.38329764454
Per_Cleon,0.634310134310.36568986569
Per_Daughter,0.5416666666670.458333333333
Per_Diana,0.694656488550.30534351145
Per_Dionyza,0.6253993610220.374600638978
Per_FISHERMEN.1,0.6607142857140.339285714286
Per_FISHERMEN.2,0.6262886597940.373711340206
Per_FISHERMEN.3,0.6052631578950.394736842105
Per_GENTLEMEN.EPHESUS.1,0.6270270270270.372972972973
Per_GENTLEMEN.EPHESUS.2,0.6483516483520.351648351648
Per_GENTLEMEN.MYTILENE.1,0.6779661016950.322033898305
Per_GENTLEMEN.MYTILENE.2,0.6734693877550.326530612245
Per_GENTLEMEN.TYRE.0.1,0.6666666666670.333333333333
Per_Gower,0.6299013407540.370098659246
Per_Helicanus,0.6326175275680.367382472432
Per_KNIGHTS,0.7272727272730.272727272727
Per_KNIGHTS.0.1,0.7159090909090.284090909091
Per_KNIGHTS.0.2,0.6666666666670.333333333333
Per_KNIGHTS.0.3,0.7083333333330.291666666667
Per_LORDS.MYTILENE.0.1,0.750.25
Per_LORDS.PENTAPOLIS.0.1,0.6021505376340.397849462366
Per_LORDS.PENTAPOLIS.0.2,0.6333333333330.366666666667
Per_LORDS.PENTAPOLIS.0.3,0.468750.53125
Per_LORDS.TARSUS.1,0.6629213483150.337078651685
Per_LORDS.TYRE,1.00.0
Per_LORDS.TYRE.0.1,0.6666666666670.333333333333
Per_LORDS.TYRE.0.2,0.6241134751770.375886524823
Per_LORDS.TYRE.0.3,0.6086956521740.391304347826
Per_LORDS.TYRE.Escanes,0.68750.3125
Per_Leonine,0.6516853932580.348314606742
Per_Lychorida,0.5661764705880.433823529412
Per_Lysimachus,0.6353297952990.364670204701
Per_MESSENGERS.ANTIOCH.1,0.750.25
Per_Marina,0.6714285714290.328571428571
Per_Marshal,0.70.3
Per_PIRATES.0.1,0.6153846153850.384615384615
Per_PIRATES.0.2,0.6666666666670.333333333333
Per_PIRATES.0.3,0.5555555555560.444444444444
Per_Pander,0.6265984654730.373401534527
Per_Pericles,0.6442521342530.355747865747
Per_Philemon,0.750.25
Per_SAILORS.1,0.6402877697840.359712230216
Per_SAILORS.2,0.6612903225810.338709677419
Per_SAILORS.MYTILENE.1,0.80.2
Per_SAILORS.TYRE.1,0.750.25
Per_SERVANTS.CERIMON.0.1,0.4807692307690.519230769231
Per_SUPPLIANTS.1,0.7307692307690.269230769231
Per_Simonides,0.6268315018320.373168498168
Per_Thaisa,0.6483516483520.351648351648
Per_Thaliard,0.639257294430.36074270557
R2_AbbotOfWestminster,0.6029411764710.397058823529
R2_Aumerle,0.6508422664620.349157733538
R2_Bagot,0.6895522388060.310447761194
R2_Berkeley,0.6766917293230.323308270677
R2_BishopOfCarlisle,0.623827392120.37617260788
R2_Bushy,0.630584192440.36941580756
R2_DuchessOfGloucester,0.6739846322720.326015367728
R2_DuchessOfYork,0.6522377109320.347762289068
R2_Exton,0.6797583081570.320241691843
R2_Fitzwater,0.6449864498640.355013550136
R2_Gardener,0.6419902912620.358009708738
R2_Gaunt,0.6490818030050.350918196995
R2_Green,0.660818713450.33918128655
R2_Groom,0.6182795698920.381720430108
R2_HERALDS.1,0.60.4
R2_HERALDS.2,0.6481481481480.351851851852
R2_HenryIV,0.6586112453680.341388754632
R2_Hotspur,0.6769005847950.323099415205
R2_Jailer,0.6075949367090.392405063291
R2_LADIES.0.1,0.8333333333330.166666666667
R2_LORDS.1,0.656716417910.34328358209
R2_LordMarshal,0.6544117647060.345588235294
R2_Mowbray,0.6504381694260.349561830574
R2_Northumberland,0.6462765957450.353723404255
R2_Queen,0.6477876106190.352212389381
R2_RichardII,0.6575082080530.342491791947
R2_Ross,0.6056338028170.394366197183
R2_SERVANTS.EXTON.0.1,0.8461538461540.153846153846
R2_SERVANTS.GARDENER.1,0.6357142857140.364285714286
R2_SERVANTS.YORK.1,0.6911764705880.308823529412
R2_Salisbury,0.6463022508040.353697749196
R2_Scroop,0.6851851851850.314814814815
R2_Surrey,0.7014925373130.298507462687
R2_WelshCaptain,0.7090163934430.290983606557
R2_Willoughby,0.6782178217820.321782178218
R2_York,0.650790067720.34920993228
R3_ATTENDANTS.0.1,0.6790123456790.320987654321
R3_ATTENDANTS.RICHMOND,0.8888888888890.111111111111
R3_ATTENDANTS.RICHMOND.0.1,0.6451612903230.354838709677
R3_Archbishop,0.6510067114090.348993288591
R3_BISHOPS,1.00.0
R3_BishopOfEly,0.6770833333330.322916666667
R3_Blunt,0.6183206106870.381679389313
R3_Brakenbury,0.6965065502180.303493449782
R3_Buckingham,0.661569484120.33843051588
R3_CITIZENS,1.00.0
R3_CITIZENS.1,0.6585365853660.341463414634
R3_CITIZENS.2,0.6919191919190.308080808081
R3_CITIZENS.3,0.6602150537630.339784946237
R3_Cardinal,0.6824324324320.317567567568
R3_Catesby,0.6894197952220.310580204778
R3_Clarence,0.6571762870510.342823712949
R3_ClarencesBoy,0.6617210682490.338278931751
R3_ClarencesDaughter,0.6422018348620.357798165138
R3_Dorset,0.6692307692310.330769230769
R3_DuchessOfYork,0.6716061185470.328393881453
R3_EdwardIV,0.653061224490.34693877551
R3_EdwardV,0.6722797927460.327720207254
R3_GENTLEMEN.0.1,0.7096774193550.290322580645
R3_Grey,0.6534296028880.346570397112
R3_Hastings,0.6679069767440.332093023256
R3_HenryVI,0.6698113207550.330188679245
R3_HenryVII,0.6939843068880.306015693112
R3_Herbert,0.5789473684210.421052631579
R3_Jailer,0.7155172413790.284482758621
R3_LadyAnne,0.6775979557070.322402044293
R3_Lovell,0.5294117647060.470588235294
R3_MESSENGERS.1,0.7352941176470.264705882353
R3_MESSENGERS.2,0.7333333333330.266666666667
R3_MESSENGERS.3,0.7019230769230.298076923077
R3_MESSENGERS.4,0.596491228070.40350877193
R3_MESSENGERS.X.1,0.74218750.2578125
R3_MESSENGERS.X.2,0.6359649122810.364035087719
R3_MESSENGERS.X.3,0.6666666666670.333333333333
R3_MURDERERS.1,0.6713021491780.328697850822
R3_MURDERERS.2,0.6291866028710.370813397129
R3_MayorOfLondon,0.6748971193420.325102880658
R3_Norfolk,0.7050359712230.294964028777
R3_Oxford,0.593750.40625
R3_PrinceEdward,0.6111111111110.388888888889
R3_Pursuivant,0.6216216216220.378378378378
R3_QueenElizabeth,0.6629807692310.337019230769
R3_QueenMargaret,0.6770018061410.322998193859
R3_Ratcliffe,0.6658986175120.334101382488
R3_RichardIII,0.6624955939370.337504406063
R3_Rivers,0.6557971014490.344202898551
R3_Scrivener,0.6488888888890.351111111111
R3_Sheriff,0.7222222222220.277777777778
R3_SirChristopher,0.6923076923080.307692307692
R3_SirJohn,0.7916666666670.208333333333
R3_Stanley,0.6763831052940.323616894706
R3_Surrey,0.6111111111110.388888888889
R3_Tyrrel,0.660919540230.33908045977
R3_Vaughan,0.6829268292680.317073170732
R3_York,0.6755994358250.324400564175
Rom_Apothecary,0.5849056603770.415094339623
Rom_Benvolio,0.6487439400620.351256059938
Rom_CITIZENS,0.80.2
Rom_CITIZENS.0.1,0.73750.2625
Rom_Capulet,0.6393229166670.360677083333
Rom_Chorus,0.6455142231950.354485776805
Rom_Cousin,0.7096774193550.290322580645
Rom_FriarJohn,0.6052631578950.394736842105
Rom_FriarLawrence,0.6488897323970.351110267603
Rom_Juliet,0.656440129450.34355987055
Rom_LadyCapulet,0.6501809408930.349819059107
Rom_LadyMontague,0.534883720930.46511627907
Rom_MUSICIANS.0.1,0.6346153846150.365384615385
Rom_MUSICIANS.0.2,0.6478873239440.352112676056
Rom_MUSICIANS.0.3,0.3333333333330.666666666667
Rom_Mercutio,0.6587919463090.341208053691
Rom_Montague,0.63840.3616
Rom_Nurse,0.6616928920240.338307107976
Rom_Paris,0.6623376623380.337662337662
Rom_Petruchio,0.60.4
